especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,109304516,109304516,109304516,109304516,109304516,109304516,109304516,135761720,151997609,151997609,151997609,151997609,151997609,151997609,151997609,ON
PN,78872822,78872822,78872822,78872822,78872822,78872822,78872822,98178337,110098478,110098478,110098478,110098478,110098478,110098478,110098478,PN
TOTAL,188177338,188177338,188177338,188177338,188177338,188177338,188177338,233940057,262096087,262096087,262096087,262096087,262096087,262096087,262096087,TOTAL
