especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,229913715,355089922,268703876,268703876,1625160893,1626069778,1626069778,1644248206,1644248206,1876606210,1876606210,1876606210,1876606210,1876606210,1876606210,ON
PN,206925907,488231433,0,0,0,0,0,0,0,0,0,0,0,0,0,PN
TOTAL,436839622,843321355,268703876,268703876,1625160893,1626069778,1626069778,1644248206,1644248206,1876606210,1876606210,1876606210,1876606210,1876606210,1876606210,TOTAL
