cd_conta,conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-21057.000,-12529.000,-3823.000,-30590.000,11579.000,4993.000,7429.000,-26662.000,49363.000,59233.000,128796.000,76759.000,132249.000,206918.000,185920.000,34509.000,181980.000,263146.000,416932.000,342841.000,62589.000,237594.000,393233.000,217906.000,-37319.000,644013.000,1155017.000,58401.000,147672.000,565070.000,549345.000,564317.000,11484.000,383308.000,674648.000,60000.000,-267416.000,159376.000,-221224.000,748484.000,-221299.000,199730.000,189086.000,88826.000,153202.000,60701.000,130603.000,159094.000,-13675.000,131953.000,-55500.000,54569.000,13315.000,225973.000,367078.000,73481.000,128668.000,126603.000,509079.000,103086.000,304299.000,540168.000,995199.000
6.01.DA,Depreciação e Amortização,5622.000,9361.000,8431.000,10440.000,10105.000,10428.000,10631.000,13243.000,18224.000,19418.000,25181.000,23112.000,24753.000,25647.000,28470.000,29342.000,30657.000,32564.000,92064.000,94483.000,100959.000,99073.000,87668.000,92171.000,97647.000,197018.000,301522.000,-194581.000,102739.000,103408.000,104915.000,105652.000,102223.000,103092.000,112869.000,158594.000,262931.000,374222.000,-251851.000,165698.000,135946.000,134606.000,135134.000,135985.000,118651.000,117079.000,130025.000,123231.000,113245.000,118879.000,109690.000,116226.000,107412.000,217309.000,329682.000,-198662.000,116172.000,231050.000,343358.000,-233037.000,110266.000,215863.000,326443.000
6.02,Caixa Líquido Atividades de Investimento,167229.000,24179.000,-2915.000,-33908.000,-9963.000,-7774.000,-273828.000,-400571.000,-266763.000,-348306.000,-37953.000,-178287.000,-35123.000,-61143.000,-29390.000,-49630.000,-39862.000,-88379.000,26800.000,-118171.000,-115536.000,-94268.000,-68407.000,-141419.000,326607.000,192867.000,134242.000,-803043.000,-94227.000,-392891.000,-155046.000,-425647.000,-111651.000,-193192.000,-2946372.000,-1538472.000,270557.000,-357278.000,498931.000,-390824.000,-918759.000,169476.000,-1387439.000,602814.000,-131877.000,-253358.000,134919.000,-143285.000,75938.000,-381168.000,754240.000,-9230.000,880089.000,626284.000,732821.000,-1733333.000,-268348.000,255492.000,2968.000,-229012.000,-270082.000,181564.000,-292544.000
6.03,Caixa Líquido Atividades de Financiamento,-145375.000,-2324.000,3614.000,66403.000,-192.000,-7964.000,289063.000,539069.000,597433.000,-10881.000,-3686.000,-1435.000,-1718.000,-104028.000,-43789.000,-31463.000,-32691.000,-217583.000,-536435.000,-166746.000,-70604.000,-85935.000,-232573.000,-155112.000,-118228.000,-306433.000,-512443.000,212069.000,-47134.000,-335513.000,-166258.000,-228727.000,-13368.000,-596334.000,5242313.000,-408081.000,-4421.000,-1051063.000,-338731.000,-160319.000,2455209.000,461935.000,1345402.000,-993349.000,-741433.000,-87420.000,-337436.000,452412.000,-148900.000,-318657.000,-1466478.000,-102788.000,-604742.000,-653072.000,-1015383.000,1590200.000,-70002.000,-911833.000,-1069072.000,892853.000,-114281.000,-755163.000,-777499.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,797.000,9326.000,-3124.000,1905.000,1424.000,-10745.000,22664.000,111836.000,380033.000,-299954.000,87157.000,-102963.000,95408.000,41747.000,112741.000,-46584.000,109427.000,-42816.000,-92703.000,57924.000,-123551.000,57391.000,92253.000,-78625.000,171060.000,530447.000,776816.000,-532573.000,6311.000,-163334.000,228041.000,-90057.000,-113535.000,-406218.000,2970589.000,-1886553.000,-1280.000,-1248965.000,-61024.000,197341.000,1315151.000,831141.000,147049.000,-301709.000,-720108.000,-280077.000,-71914.000,468221.000,-86637.000,-567872.000,-767738.000,-57449.000,288662.000,199185.000,84516.000,-69652.000,-209682.000,-529738.000,-557025.000,766927.000,-80064.000,-33431.000,-74844.000
