especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,550035331,550035331,605059489,665565438,665565438,691784501,691784501,691784501,691784501,691784501,691784501,760962951,820566246,820566246,820566246,ON
TOTAL,550035331,550035331,605059489,665565438,665565438,691784501,691784501,691784501,691784501,691784501,691784501,760962951,820566246,820566246,820566246,TOTAL
