especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,522604096,522604096,592714397,592714397,592714397,641553423,720210378,720210378,755993938,755993938,755993938,756010104,800898864,887231247,887231247,ON
PN,577253459,577253459,652976492,652976492,652976492,695046557,1009616927,1009616927,1058567972,1058567972,1058567972,1058632636,1238187676,1402193416,1402193416,PN
TOTAL,1099857555,1099857555,1245690889,1245690889,1245690889,1336599980,1729827305,1729827305,1814561910,1814561910,1814561910,1814642740,2039086540,2289424663,2289424663,TOTAL
