Espécie_Acao,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2025T4
ON,1200160000,1390671404,1390671404,1390671404,1384479772,1762281522,1746065322,1731276922,1720808722,1784211500,7244165568,7244165568,7244165568,7244165568,7244165568
PN,1199840000,1324230808,1324230808,1324230808,1311847544,967968849,935536450,905959650,885023250,1011828806,4261954360,4261954360,4261954360,4261954360,4261954360
TOTAL,2400000000,2714902212,2714902212,2714902212,2696327316,2730250371,2681601772,2637236572,2587831972,2796040306,11506119928,11506119928,11506119928,11506119928,11506119928
