cd_conta,conta,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,121565.000,117040.000,140695.000,173054.000,182406.000,192752.000,200024.000,198706.000,207986.000,224864.000,242316.000,239903.000,239541.000,366641.000,345657.000,328500.000,336630.000,337385.000,351897.000,358453.000,374377.000,410440.000,475059.000,598258.000,619939.000,762751.000,726263.000,724061.000,837004.000,872201.000,914999.000,1192938.000,1229162.000,1413379.000,1429335.000,1555688.000
1.01,Ativo Circulante,73027.000,65748.000,89061.000,82881.000,90691.000,99198.000,98335.000,99755.000,105316.000,109486.000,124944.000,119048.000,127862.000,262314.000,246837.000,222451.000,204847.000,188441.000,203175.000,202167.000,212104.000,212805.000,258358.000,353857.000,353888.000,453844.000,393916.000,367810.000,445227.000,461958.000,463501.000,617973.000,609764.000,795229.000,806837.000,932157.000
1.01.01,Caixa e Equivalentes de Caixa,12063.000,9848.000,28493.000,3352.000,644.000,2367.000,4754.000,5101.000,3400.000,4641.000,12260.000,13296.000,34157.000,7730.000,27646.000,47445.000,52035.000,43367.000,50134.000,50628.000,66038.000,53723.000,44656.000,91538.000,105039.000,180380.000,67826.000,82151.000,125891.000,174881.000,179772.000,182138.000,232537.000,349281.000,356525.000,478906.000
1.01.02,Aplicações Financeiras,0.000,0.000,7580.000,1493.000,1864.000,41.000,542.000,6.000,28.000,463.000,14650.000,13373.000,10371.000,139722.000,121461.000,87996.000,58387.000,35197.000,20423.000,20482.000,10611.000,12684.000,12792.000,12482.000,10848.000,10857.000,11038.000,10858.000,11011.000,10960.000,11774.000,10977.000,11202.000,11180.000,11371.000,11188.000
1.01.03,Contas a Receber,56130.000,49519.000,44691.000,58978.000,67185.000,76973.000,70422.000,66556.000,69815.000,71528.000,65509.000,60125.000,52607.000,69492.000,51624.000,54726.000,63078.000,79141.000,103303.000,105848.000,108811.000,122120.000,159082.000,205139.000,205273.000,226922.000,271795.000,232718.000,276728.000,239246.000,223530.000,356208.000,319533.000,380240.000,375667.000,387825.000
1.01.04,Estoques,15.000,27.000,17.000,313.000,1662.000,67.000,1469.000,1529.000,1052.000,1336.000,684.000,1442.000,692.000,924.000,639.000,1172.000,1282.000,2619.000,2954.000,3483.000,3628.000,3529.000,4308.000,5660.000,5361.000,4729.000,4796.000,5988.000,4609.000,4431.000,5692.000,5732.000,5778.000,6781.000,5964.000,5878.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,3801.000,5349.000,6882.000,10926.000,11873.000,12686.000,14387.000,18521.000,23011.000,24610.000,25535.000,25518.000,25022.000,25696.000,27577.000,27586.000,22788.000,20244.000,18391.000,13698.000,12693.000,12075.000,14482.000,16359.000,12392.000,13637.000,17981.000,19928.000,15428.000,21558.000,27110.000,25967.000,20037.000,27294.000,33668.000,19885.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,2964.000,2814.000,1664.000,1889.000,3682.000,3569.000,2809.000,2196.000,3043.000,3623.000,2113.000,1612.000,5485.000,5745.000,5255.000,4646.000,7174.000,5135.000,7736.000,6669.000,10575.000,10350.000,14286.000,9709.000,6387.000,4025.000,8271.000,11331.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,1018.000,1005.000,1398.000,7819.000,4499.000,4250.000,5097.000,6153.000,4328.000,3339.000,3497.000,3098.000,1970.000,15127.000,15777.000,1914.000,1792.000,2128.000,2715.000,3382.000,3149.000,3539.000,15302.000,16010.000,4400.000,6969.000,6194.000,6458.000,5173.000,6857.000,7352.000,25620.000,20677.000,20453.000,23642.000,28475.000
1.02,Ativo Não Circulante,48538.000,51292.000,51634.000,90173.000,91715.000,93554.000,101689.000,98951.000,102670.000,115378.000,117372.000,120855.000,111679.000,104327.000,98820.000,106049.000,131783.000,148944.000,148722.000,156286.000,162273.000,197635.000,216701.000,244401.000,266051.000,308907.000,332347.000,356251.000,391777.000,410243.000,451498.000,574965.000,619398.000,618150.000,622498.000,623531.000
1.02.01,Ativo Realizável a Longo Prazo,6224.000,6866.000,8952.000,11661.000,16292.000,16447.000,24176.000,23045.000,26630.000,29178.000,29730.000,33843.000,28371.000,24017.000,23097.000,30065.000,46410.000,47463.000,47865.000,50368.000,54624.000,54519.000,55024.000,59616.000,60266.000,62185.000,64619.000,67005.000,76536.000,86059.000,91218.000,97016.000,86583.000,96430.000,106143.000,112350.000
1.02.02,Investimentos,64.000,2035.000,2056.000,2337.000,1247.000,1854.000,2292.000,2408.000,1696.000,1533.000,1821.000,1565.000,1728.000,1945.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.000,224.000
