especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,6120851,6120851,6120851,6120851,28784041,28784041,2878404,2878404,2878404,2878404,2878404,2878404,2878404,2878404,2878404,ON
PN,8285296,8285296,8285296,8285296,33269710,33269710,3326971,3326971,3326971,3326971,3326971,3326971,3326971,3326971,3326971,PN
TOTAL,14406147,14406147,14406147,14406147,62053751,62053751,6205375,6205375,6205375,6205375,6205375,6205375,6205375,6205375,6205375,TOTAL
