cd_conta,conta,2021T2,2021T3,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-243851.000,83707.000,-197905.000,-297663.000,822888.000,-69623.000,200139.000,9487.000,651247.000,2632.000,-40392.000,124723.000,225339.000,416542.000,125762.000,-854038.000,-5867.000
6.01.DA,Depreciação e Amortização,10746.000,16763.000,6945.000,7805.000,8767.000,9495.000,10521.000,21657.000,35795.000,-16705.000,21117.000,42253.000,65654.000,-38236.000,25920.000,53184.000,81641.000
6.02,Caixa Líquido Atividades de Investimento,-102462.000,-1012663.000,52113.000,24941.000,-163188.000,46186.000,-115603.000,-247690.000,-406319.000,309813.000,-73205.000,-222993.000,-94753.000,-132345.000,-285693.000,-937173.000,-1247825.000
6.03,Caixa Líquido Atividades de Financiamento,255517.000,1236597.000,514473.000,53442.000,-288290.000,-124650.000,123069.000,160839.000,-54807.000,-328638.000,20352.000,518492.000,476055.000,-549440.000,2948.000,1781162.000,1679997.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-90796.000,307641.000,368681.000,-219280.000,371410.000,-148087.000,207605.000,-77364.000,190121.000,-16193.000,-93245.000,420222.000,606641.000,-265243.000,-156983.000,-10049.000,426305.000
