cd_conta,conta,2020T3,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T2,2023T3,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-32413.000,0.000,-229559.000,-212392.000,-150635.000,-113358.000,-222586.000,-188808.000,-168854.000,0.000,152197.000,68432.000,-98905.000,106496.000,-37888.000,244519.000,336251.000,360397.000
6.01.DA,Depreciação e Amortização,9264.000,0.000,19167.000,11751.000,23696.000,27027.000,31014.000,36067.000,43058.000,0.000,133586.000,44250.000,35248.000,42512.000,81469.000,56326.000,115479.000,173522.000
6.02,Caixa Líquido Atividades de Investimento,-180.000,0.000,-171.000,-21999.000,-94289.000,228545.000,471106.000,25092.000,850551.000,0.000,-422782.000,-590256.000,186775.000,169795.000,333621.000,177179.000,177291.000,304374.000
6.03,Caixa Líquido Atividades de Financiamento,74838.000,0.000,279888.000,991877.000,1020634.000,-116787.000,-245999.000,159673.000,256341.000,0.000,-288334.000,532048.000,-109504.000,-134085.000,-470022.000,-161970.000,-360535.000,-363682.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,42245.000,0.000,50158.000,757486.000,775710.000,-1600.000,2521.000,-4043.000,938038.000,0.000,-558919.000,10224.000,-21634.000,142206.000,-174289.000,259728.000,153007.000,301089.000
