especie,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,186494467,186494467,181464467,181494467,22248933,21623933,190591464,190591464,1624731712,6498926848,6748926848,6748926848,7389952489,738995248,ON
TOTAL,186494467,186494467,181464467,181494467,22248933,21623933,190591464,190591464,1624731712,6498926848,6748926848,6748926848,7389952489,738995248,TOTAL
