cd_conta,ds_conta,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,60263.000,60263.000,60263.000,60263.000,180483.000,300703.000,350753.000,562046.000,421300.000,480168.000,498683.000,493029.000,541766.500,590504.000,675704.000,1201775.000,604151.000,609862.000,611541.000,713045.000,812529.000,956183.000,960786.000,1106546.000,1011166.000,1047824.000,1035568.000,990701.000,804889.000,1211499.000,1575241.000,1740994.000,1965791.000,2307591.000,2615772.000,2710875.000,2703206.000,2479144.000,2666220.000,2493445.000,3021646.000,3435603.000,3775864.000,3248157.000,3568231.000,3679005.000,3765843.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-39252.000,-39252.000,-39252.000,-39252.000,-140185.000,-241118.000,-273428.000,-433641.000,-318386.000,-378261.000,-378041.000,-374227.000,-407392.500,-440558.000,-515585.000,-866970.000,-421643.000,-409740.000,-407002.000,-493578.000,-600222.000,-754464.000,-717971.000,-823778.000,-758942.000,-889996.000,-816128.000,-754715.000,-405960.000,-724273.000,-894033.000,-921809.000,-1080875.000,-1385703.000,-1698436.000,-1829467.000,-1846185.000,-1621144.000,-1860005.000,-2246160.000,-2089562.000,-2465595.000,-2718636.000,-2191610.000,-2422666.000,-2524221.000,-2547693.000
3.03,Resultado Bruto,21011.000,21011.000,21011.000,21011.000,40298.000,59585.000,77325.000,128405.000,102914.000,101907.000,120642.000,118802.000,134374.000,149946.000,160119.000,334805.000,182508.000,200122.000,204539.000,219467.000,212307.000,201719.000,242815.000,282768.000,252224.000,157828.000,219440.000,235986.000,398929.000,487226.000,681208.000,819185.000,884916.000,921888.000,917336.000,881408.000,857021.000,858000.000,806215.000,247285.000,932084.000,970008.000,1057228.000,1056547.000,1145565.000,1154784.000,1218150.000
3.04,Despesas/Receitas Operacionais,-10349.000,-10349.000,-10349.000,-10349.000,-17511.000,-24673.000,-30003.000,-58619.000,-50365.000,-59717.000,-67148.000,-75753.000,-86212.000,-96671.000,-94754.000,-201337.000,-99187.000,-101962.000,-113552.000,-112208.000,-113133.000,-102073.000,-119634.000,-136581.000,-380038.000,-108015.000,-125293.000,52169.000,-156605.000,-171698.000,-178506.000,-213003.000,-234631.000,-257540.000,-292521.000,-404108.000,-371712.000,-356963.000,-351054.000,-427225.000,-320437.000,-342714.000,-361030.000,-371614.000,-379611.000,-369393.000,-364058.000
3.04.02,Despesas Gerais e Administrativas,-10125.000,-10125.000,-10125.000,-10125.000,-17747.000,-25369.000,-24144.000,-51583.000,-41339.000,-49173.000,-52905.000,-61963.000,-73094.500,-84226.000,-73519.000,-161136.000,-81076.000,-52859.000,-67776.000,-170539.000,-106357.000,-59685.000,-54704.000,-10256.000,-53293.000,-39925.000,-45311.000,-67798.000,-65230.000,-64911.000,-76050.000,-86763.000,-89743.000,-89631.000,-108956.000,-183356.000,-151740.000,-150210.000,-149290.000,-206595.000,-102537.000,-165537.000,-137275.000,-145391.000,-143216.000,-150308.000,-140752.000
3.04.05,Outras Despesas Operacionais,-29.000,-29.000,-29.000,-29.000,-132.000,-235.000,-337.000,-265.000,-9026.000,-10544.000,-82.000,19491.000,3523.000,-12445.000,-42.000,12487.000,-18111.000,-12290.000,0.000,30401.000,0.000,9947.000,-7798.000,-13454.000,-15783.000,-17453.000,-20802.000,-25770.000,-26915.000,0.000,-21315.000,-50986.000,-30851.000,0.000,-41417.000,-92735.000,-45656.000,0.000,-48970.000,-110704.000,-47920.000,-22586.000,-45196.000,-37317.000,-51128.000,-23993.000,-19706.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,10662.000,10662.000,10662.000,10662.000,22787.000,34912.000,47322.000,69786.000,52549.000,42190.000,53494.000,43049.000,48162.000,53275.000,65365.000,133468.000,83321.000,98160.000,90987.000,107259.000,99174.000,99646.000,123181.000,146187.000,-127814.000,49813.000,94147.000,288155.000,242324.000,315528.000,502702.000,606182.000,650285.000,664348.000,624815.000,477300.000,485309.000,501037.000,455161.000,-179940.000,611647.000,627294.000,696198.000,684933.000,765954.000,785391.000,854092.000
3.06,Resultado Financeiro,-4926.000,-4926.000,-4926.000,-4926.000,-10221.000,-15516.000,-28020.000,-44116.000,-32272.000,-33275.000,-34927.000,-41448.000,-38558.500,-35669.000,-43770.000,-82356.000,-45470.000,-40908.000,-41567.000,-44840.000,-45708.000,-50053.000,-51190.000,-40379.000,-45153.000,-45842.000,-37414.000,-36909.000,-76658.000,-67424.000,-132746.000,-208138.000,-287287.000,-399360.000,-513667.000,-501025.000,-474681.000,-525574.000,-542739.000,-555382.000,-538760.000,-570722.000,-594402.000,-606665.000,-655210.000,-694079.000,-795318.000
3.06.01,Receitas Financeiras,540.000,540.000,540.000,540.000,1752.000,2964.000,8218.000,17134.000,13274.000,11686.000,26170.000,-697.000,5819.000,12335.000,16392.000,27160.000,9560.000,10954.000,15325.000,10512.000,12915.000,9601.000,21626.000,13151.000,27155.000,27271.000,36683.000,8557.000,188526.000,-307323.000,209511.000,383039.000,107671.000,116443.000,123724.000,161251.000,140174.000,25985.000,47438.000,59477.000,88865.000,91415.000,112895.000,85172.000,90007.000,98699.000,100571.000
