cd_conta,conta,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1373003.000,1424616.000,1809210.000,2338561.000,2618610.000,2571513.000,2482124.000,2563567.000,2789713.000,3313640.000,3611178.000,4078874.000,4006470.000,3915850.000,4766879.000,4850556.000,5192301.000,5878790.000,6998380.000,7511569.000,7242817.000,7290565.000,7460748.000,7734620.000,8502627.000,13041956.000,14204671.000,19735813.000,21715853.000,20955436.000,23372858.000,26410233.000,26248880.000,22682038.000,21069948.000,21734567.000,25119493.000,26185577.000,27684239.000,28574186.000,30573857.000,29211368.000,29775568.000,29641564.000
1.01,Ativo Circulante,240432.000,283313.000,355258.000,628572.000,782052.000,741623.000,581030.000,637423.000,565338.000,1062261.000,1156145.000,1494296.000,1161338.000,1035787.000,1703686.000,1396149.000,1435941.000,1759669.000,2430592.000,2635892.000,1949183.000,2021662.000,2629303.000,2309815.000,2380202.000,3766854.000,6540319.000,9415676.000,9146958.000,7684008.000,8093776.000,10231793.000,9440252.000,6321604.000,4977148.000,4746494.000,5429325.000,6327609.000,6866848.000,7129673.000,6950874.000,7253058.000,7615071.000,7260531.000
1.01.01,Caixa e Equivalentes de Caixa,15544.000,20313.000,33575.000,306560.000,460579.000,314399.000,73018.000,65347.000,53576.000,196757.000,251817.000,321353.000,411381.000,295470.000,525782.000,158386.000,259482.000,158463.000,326045.000,128864.000,72233.000,239226.000,287411.000,327884.000,68647.000,886551.000,2816548.000,4643996.000,146030.000,903521.000,919646.000,401837.000,551765.000,486982.000,487375.000,356841.000,133394.000,475274.000,674841.000,568043.000,677895.000,847108.000,1002896.000,1671176.000
1.01.02,Aplicações Financeiras,47771.000,32181.000,74836.000,42496.000,23337.000,52937.000,52762.000,77861.000,69935.000,379532.000,334638.000,668523.000,372228.000,306719.000,584787.000,635201.000,552669.000,711198.000,1135658.000,1500310.000,974872.000,810259.000,1413202.000,1297070.000,1623860.000,2095684.000,2740207.000,3630317.000,7640423.000,4747063.000,4803050.000,7393620.000,6275771.000,3436117.000,2090491.000,1654286.000,2865358.000,2736012.000,3010162.000,3407676.000,3613468.000,2190087.000,2436181.000,1645729.000
1.01.03,Contas a Receber,94092.000,123210.000,149193.000,174656.000,183820.000,162826.000,211391.000,235985.000,219140.000,234554.000,279193.000,225450.000,157921.000,113642.000,237583.000,219969.000,351896.000,457150.000,432570.000,489139.000,539263.000,398069.000,376408.000,398433.000,455421.000,447114.000,550855.000,631554.000,879885.000,1075725.000,1284046.000,1044109.000,1173853.000,1024971.000,1099133.000,1309930.000,1343672.000,1541188.000,1684002.000,1736952.000,1441650.000,2183360.000,2175461.000,2216498.000
1.01.04,Estoques,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,191068.000,194795.000,211894.000,221182.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,5151.000,4808.000,5055.000,4541.000,12599.000,17023.000,16295.000,16765.000,12891.000,8856.000,23034.000,22994.000,36179.000,33202.000,60192.000,60335.000,48202.000,51619.000,52915.000,52944.000,86220.000,88505.000,78892.000,89680.000,80612.000,71074.000,67365.000,95823.000,109243.000,180562.000,289877.000,357576.000,174084.000,184787.000,256498.000,329015.000,385740.000,390644.000,355432.000,365493.000,400082.000,413315.000,505449.000,498713.000
1.01.07,Despesas Antecipadas,22880.000,21513.000,25071.000,19270.000,4678.000,26924.000,21848.000,16621.000,6020.000,29582.000,26163.000,15314.000,9107.000,47248.000,40701.000,27346.000,6134.000,38804.000,37659.000,25185.000,6212.000,67658.000,38530.000,27539.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,54994.000,81288.000,67528.000,81049.000,97039.000,167514.000,205716.000,224844.000,12708.000,18185.000,29406.000,19480.000,174522.000,239506.000,254641.000,294912.000,217558.000,342435.000,445745.000,439450.000,270383.000,417945.000,434860.000,169209.000,151662.000,266431.000,365344.000,413986.000,371377.000,777137.000,797157.000,1034651.000,1264779.000,1188747.000,1043651.000,1096422.000,701161.000,1184491.000,1142411.000,1051509.000,817779.000,1619188.000,1495084.000,1228415.000
1.02,Ativo Não Circulante,1132571.000,1141303.000,1453952.000,1709989.000,1836558.000,1829890.000,1901094.000,1926144.000,2224375.000,2251379.000,2455033.000,2584578.000,2845132.000,2880063.000,3063193.000,3454407.000,3756360.000,4119121.000,4567788.000,4875677.000,5293634.000,5268903.000,4831445.000,5424805.000,6122425.000,9275102.000,7664352.000,10320137.000,12568894.000,13271428.000,15279082.000,16178440.000,16808628.000,16360434.000,16092800.000,16988073.000,19690168.000,19857968.000,20817391.000,21444513.000,23622983.000,21958310.000,22160497.000,22381033.000
1.02.01,Ativo Realizável a Longo Prazo,4707.000,844.000,844.000,16864.000,171549.000,138475.000,120619.000,8936.000,5163.000,3588.000,3572.000,4664.000,21771.000,25192.000,30522.000,29837.000,60046.000,65446.000,77744.000,99923.000,122400.000,146034.000,235195.000,251939.000,240717.000,2758591.000,217522.000,293627.000,252630.000,254622.000,279354.000,676243.000,677535.000,757872.000,709256.000,661560.000,715434.000,765604.000,1312699.000,1379665.000,1367306.000,937844.000,342107.000,393409.000
1.02.02,Investimentos,0.000,0.000,-4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1027.000,1043.000,1059.000,1076.000,1093.000,1107.000,1118.000,1127.000,1233.000,1239.000,1985.000,2141.000,1202.000,1191.000,1188.000,1139.000,1107.000,1102.000,1092.000,1113.000,676.000,1142.000,612.000,589.000,562.000,562.000,562.000,0.000,18175.000
1.02.03,Imobilizado,1116703.000,1128637.000,1441451.000,1681463.000,1652196.000,1678315.000,1766278.000,1901051.000,2202890.000,2230796.000,2432822.000,2560106.000,2799625.000,2829661.000,3005263.000,3387269.000,3647351.000,3990307.000,4407180.000,4678978.000,5063359.000,5005772.000,4468999.000,5036472.000,5738753.000,6358238.000,7287437.000,9856908.000,12140029.000,12833830.000,14798070.000,15290954.000,15842199.000,15303402.000,15083106.000,16021303.000,18637281.000,18762538.000,19168400.000,19724886.000,21912952.000,20671846.000,21464854.000,21621948.000
1.02.04,Intangível,11161.000,11822.000,11661.000,11662.000,12813.000,13100.000,14197.000,16157.000,16322.000,16995.000,18639.000,19808.000,23736.000,25210.000,27408.000,36274.000,47920.000,62309.000,81788.000,95683.000,106768.000,115979.000,126124.000,135161.000,141716.000,156288.000,157252.000,168400.000,175044.000,181788.000,200519.000,210136.000,287792.000,298068.000,299325.000,304534.000,336311.000,329214.000,335703.000,339400.000,342163.000,348058.000,353536.000,347501.000
