especie,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,624250238,213491586,213491586,263421014,298921014,263421014,362302086,362302086,362302086,362302086,ON
TOTAL,624250238,213491586,213491586,263421014,298921014,263421014,362302086,362302086,362302086,362302086,TOTAL
