Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,1912397390,1912397390,2103637129,2103637129,2524364555,2524364555,3054481112,3359929223,4031915068,4435106575,4870579247,5338393881,5338393881,5338393881,5303870781
PN,1912397191,1912397191,2103636910,2103636910,2524364292,2524364292,3054480793,3359928872,4031914646,4435106111,4848500325,5320094147,5320094147,5320094147,5288141247
TOTAL,3824794581,3824794581,4207274039,4207274039,5048728847,5048728847,6108961905,6719858095,8063829714,8870212686,9719079572,10658488028,10658488028,10658488028,10592012028
