especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,65096907,195290721,257699937,257699937,257699937,257699937,325881749,457912862,457912862,669255362,133851072,133851072,133851072,133851072,133851072,ON
TOTAL,65096907,195290721,257699937,257699937,257699937,257699937,325881749,457912862,457912862,669255362,133851072,133851072,133851072,133851072,133851072,TOTAL
