cd_conta,conta,2020T3,2021T3,2022T2,2022T3,2023T2,2023T3,2024T2,2024T3,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,244485.0,460607.0,206466.0,215125.0,282453.0,414022.0,407473.0,833199.0,693938.0,1201209.0
6.02,Caixa Líquido Atividades de Investimento,-198688.0,-317992.0,-219135.0,-660376.0,-346236.0,-441482.0,-269621.0,-605023.0,-699070.0,-871282.0
6.03,Caixa Líquido Atividades de Financiamento,240593.0,103595.0,268390.0,200901.0,-34190.0,280144.0,-293652.0,-382373.0,-577759.0,90055.0
6.04,Variação Cambial s/ Caixa e Equivalentes,40446.0,38407.0,-15356.0,-3100.0,-38909.0,-23729.0,74087.0,73094.0,-173746.0,-224041.0
6.05,Aumento (Redução) de Caixa e Equivalentes,326836.0,284617.0,240365.0,-247450.0,-136882.0,228955.0,-81713.0,-81103.0,-756637.0,195941.0
