cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,216555.0,327201.0,482746.0,543543.0,634581.0,1226502.0,525382.0,14533.0,587863.0,459166.0,425930.0,556183.0,503974.0,420902.0,539832.0,615829.0,653958.0,700673.0,865953.0,1001127.0,947476.0,1079022.0,1350398.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-186762.0,-230996.0,-233069.0,-269743.0,-355092.0,-733155.0,-338860.0,17756.0,-327743.0,-316547.0,-342895.0,-392353.0,-326790.0,-295826.0,-410342.0,-417015.0,-422826.0,-433209.0,-465681.0,-527755.0,-488225.0,-490097.0,-535202.0
3.03,Resultado Bruto,29793.0,96205.0,249677.0,273800.0,279489.0,493347.0,186522.0,32289.0,260120.0,0.0,83035.0,306449.0,177184.0,125076.0,129490.0,198814.0,231132.0,267464.0,400272.0,473372.0,459251.0,588925.0,815196.0
3.04,Despesas/Receitas Operacionais,-23796.0,-60782.0,-46572.0,-57655.0,-98698.0,-123455.0,-169416.0,-27564.0,-51990.0,0.0,-25838.0,-116227.0,-55939.0,-42100.0,-26591.0,-70277.0,-53548.0,-54642.0,-64187.0,-76697.0,-68898.0,-73648.0,-73701.0
3.04.02,Despesas Gerais e Administrativas,-18122.0,-16541.0,-28187.0,-32676.0,-32389.0,-66156.0,-24220.0,-135.0,-26117.0,-29819.0,-23168.0,-36987.0,-33698.0,-35476.0,-31711.0,-24239.0,-38909.0,-37304.0,-36672.0,-67276.0,-56426.0,-63936.0,-56510.0
3.04.05,Outras Despesas Operacionais,-5674.0,-44241.0,-18385.0,-24979.0,-66309.0,-57299.0,-34398.0,-27699.0,-25873.0,0.0,-2670.0,-49421.0,-22241.0,-6624.0,-7408.0,-33510.0,-14639.0,-17338.0,-27515.0,-9421.0,-12472.0,-9712.0,-17191.0
3.04.05.02,Depreciação e amortização,,-4852.0,-8515.0,-14894.0,-10425.0,-23454.0,-18537.0,-38.0,-16625.0,-5851.0,-18220.0,-24306.0,-16093.0,-12496.0,-14697.0,-15603.0,-9615.0,-15383.0,-23806.0,-27872.0,-8057.0,-9712.0,-12712.0
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2288.0,2288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,5997.0,35423.0,203105.0,216145.0,180791.0,369892.0,17106.0,59853.0,208130.0,0.0,57197.0,190222.0,121245.0,82976.0,102899.0,128537.0,177584.0,212822.0,336085.0,396675.0,390353.0,515277.0,741495.0
3.06,Resultado Financeiro,-36922.0,-13445.0,-15917.0,17926.0,-15569.0,-32646.0,-18270.0,-22491.0,47567.0,-45558.0,-31015.0,-563.0,-20286.0,-15478.0,-26724.0,-179850.0,-168815.0,-235107.0,-347647.0,-63919.0,-712118.0,-337521.0,-558861.0
