especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,140039904,140039904,371128064,371148532,371148532,371148532,371145071,1105826145,1361263584,1361263584,1361263584,1361263584,1361263584,1304117615,1264117615,ON
PN,268852497,268852497,736549249,736590145,736590145,736590145,734681074,0,0,0,0,0,0,0,0,PN
TOTAL,408892401,408892401,1107677313,1107738677,1107738677,1107738677,1105826145,1105826145,1361263584,1361263584,1361263584,1361263584,1361263584,1304117615,1264117615,TOTAL
