especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,0,3314244,3314244,3314244,3314244,16571220,16571220,16571220,16571220,16571220,16571220,16571220,16571220,16571220,16571220,ON
PN,0,3968690,3968690,3968690,3968690,19843450,19843450,19843450,19843450,19843450,19843450,19843450,19843450,19843450,19843450,PN
TOTAL,0,7282934,7282934,7282934,7282934,36414670,36414670,36414670,36414670,36414670,36414670,36414670,36414670,36414670,36414670,TOTAL
