cd_conta_padrao,ds_conta_padrao,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3,2025-T4,2026-T1,2026-T2
3.01,Receita de Venda de Bens e/ou Serviços,36435.0,45121.0,50363.0,54812.0,49350.0,65774.0,64147.0,65530.0,64610.0,88066.0,94058.0,91219.0,90673.0,102263.0,115848.0,112671.0,90673.0,91533.0,105377.0,79559.0,87266.0,89188.0,104965.0,100649.0,95072.0,100126.0,113925.0,113525.0,110588.0,117221.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-21231.0,-20663.0,-22471.0,-41715.0,-25129.0,-28397.0,-24598.0,-26114.0,-21178.0,-29654.0,-30525.0,-33035.0,-27074.0,-34898.0,-38533.0,-36864.0,-27074.0,-35424.0,-41523.0,-51322.0,-28544.0,-32956.0,-38574.0,-27056.0,-27246.0,-30363.0,-39752.0,-41932.0,-33736.0,-35894.0
3.03,Resultado Bruto,15204.0,24458.0,27892.0,13097.0,24221.0,37377.0,39549.0,39416.0,43432.0,58412.0,63533.0,58184.0,63599.0,67365.0,77315.0,75807.0,63599.0,56109.0,63854.0,28237.0,58722.0,56232.0,66391.0,73593.0,67826.0,69763.0,74173.0,71593.0,76852.0,81327.0
3.04,Despesas/Receitas Operacionais,-13661.0,-9768.0,-15887.0,-18355.0,-15711.0,-23315.0,-19637.0,-62509.0,-14915.0,-17455.0,-20432.0,-20566.0,-19037.0,-30334.0,-20626.0,-28829.0,-19037.0,-26619.0,-26932.0,-46574.0,-23825.0,-25466.0,-23341.0,-31527.0,-29544.0,-37606.0,-43739.0,-39630.0,-36454.0,-23350.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,1543.0,14690.0,12005.0,-5258.0,8510.0,14062.0,19912.0,-23093.0,28517.0,40957.0,43101.0,37618.0,44562.0,37031.0,56689.0,46978.0,44562.0,29490.0,36922.0,-18337.0,34897.0,30766.0,43050.0,42066.0,38282.0,32157.0,30434.0,31963.0,40398.0,57977.0
3.06,Resultado Financeiro,1203.0,2518.0,1911.0,2815.0,2905.0,2001.0,1484.0,1941.0,549.0,359.0,937.0,2669.0,313.0,1085.0,4877.0,9318.0,313.0,7525.0,13100.0,24217.0,9998.0,10248.0,16305.0,12572.0,11411.0,9191.0,14615.0,18331.0,20347.0,14512.0
3.07,Resultado Antes dos Tributos sobre o Lucro,2746.0,17208.0,13916.0,-2443.0,11415.0,16063.0,21396.0,-21152.0,29066.0,41316.0,44038.0,40287.0,44875.0,38116.0,61566.0,56296.0,44875.0,37015.0,50022.0,5880.0,44895.0,41014.0,59355.0,54638.0,49693.0,41348.0,45049.0,50294.0,60745.0,72489.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1821.0,-1315.0,-5069.0,375.0,-3888.0,-1671.0,-5492.0,2720.0,-10335.0,-9989.0,-13632.0,-12353.0,-14312.0,-11616.0,-22445.0,-18477.0,-14312.0,-11742.0,-16561.0,-3740.0,-11846.0,-1856.0,-17997.0,-15896.0,-13916.0,6683.0,4778.0,-8252.0,-11568.0,-4653.0
3.09,Resultado Líquido das Operações Continuadas,925.0,15893.0,8847.0,-2068.0,7527.0,14392.0,15904.0,-18432.0,18731.0,31327.0,30406.0,27934.0,30563.0,26500.0,39121.0,37819.0,30563.0,25273.0,33461.0,2140.0,33049.0,39158.0,41358.0,38742.0,35777.0,48031.0,49827.0,42042.0,49177.0,67836.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,925.0,15893.0,8847.0,-2068.0,7527.0,14392.0,15904.0,-18432.0,18731.0,31327.0,30406.0,27934.0,30563.0,26500.0,39121.0,37819.0,30563.0,25273.0,33461.0,2140.0,33049.0,39158.0,41358.0,38742.0,35777.0,48031.0,49827.0,42042.0,49177.0,67836.0
3.99,Lucro por Ação - (Reais / Ação),1.1536,19.82,11.03,29.4275,9.3868,17.95,19.83,24.18,23.35915,39.06742,37.9189,0.338,0.0953,0.1779,0.122,4178.0,0.0953,0.0788,0.1043,2851.0,0.103,0.1221,0.12894,0.4748,0.1115,0.1497,0.1553,0.5453,0.1533,0.2115
