Ticker,Preço_Fechamento,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
AZEV3,Preço de Fechamento Ajustado,0.0,0.0,0.0,0.0,0.0,15.14,15.14,15.14,15.14,15.14,15.14,15.14,3.86,3.6,3.6,3.78,2.95,3.24,3.9,3.98,3.86,3.86,2.33,2.46,2.46,2.95,4.1,4.1,4.07,4.07,4.07,4.07,4.07,4.05,4.05,14.76,9.84,1.63,2.62,2.2,1.15,4.58,3.26,4.25,4.4,6.95,4.56,4.87,4.07,2.99,2.1,1.45,1.51,1.97,2.5,2.04,1.31,1.58,1.35,0.94,0.93,0.45,0.4
AZEV4,Preço de Fechamento Ajustado,1.27,1.27,1.27,1.27,1.27,7.63,4.6,4.83,6.93,5.13,5.78,4.58,6.1,3.95,2.89,3.65,3.79,5.15,4.44,4.38,4.26,3.37,3.25,3.46,2.82,3.2,3.46,2.61,2.94,2.79,2.82,2.71,2.79,2.66,1.79,2.48,2.53,1.01,1.14,2.28,1.12,2.41,1.59,2.23,2.59,6.01,4.24,4.29,3.44,2.45,1.98,1.35,1.4,1.94,2.59,1.96,1.14,1.5,1.34,0.94,1.03,0.57,0.4
