especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,9000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,1800000,1800000,6600000,18150000,26539706,57401341,201978135,ON
PN,18000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,3600000,3600000,13200000,36300000,50640763,110409124,390775596,PN
TOTAL,27000,27000000,27000000,27000000,27000000,27000000,27000000,27000000,5400000,5400000,19800000,54450000,77180469,167810465,592753731,TOTAL
