Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,346983954,346983954,520474405,520474405,520747405,520850003,621279822,621279822,621279822,711369913,711369913,711369913,691369913,960000000,857928119
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,346983954,346983954,520474405,520474405,520747405,520850003,621279822,621279822,621279822,711369913,711369913,711369913,691369913,960000000,857928119
