especie,2010T4,2011T4,2012T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,221157990,294109630,294109630,1418784243,2057874630,2057874630,2110323374,2110323374,2110323374,2110323374,2110323374,2110323374,ON
PN,100917480,132482054,132482054,639090387,0,0,0,0,0,0,0,0,PN
TOTAL,322075470,426591684,426591684,2057874630,2057874630,2057874630,2110323374,2110323374,2110323374,2110323374,2110323374,2110323374,TOTAL
