codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,3.9167,21.1233,23.6594,7.6834,5.7695,5.4189,8.0939,8.1155
P_VPA,P/VPA,Valuation,x,6.2805,1.0961,0.5783,0.2665,0.5082,0.2558,0.3821,0.3831
EV_EBITDA,EV/EBITDA,Valuation,x,,9.2322,9.4189,9.8575,8.7187,6.9424,8.7339,8.7441
EV_EBIT,EV/EBIT,Valuation,x,,10.0701,10.5902,10.9251,9.3957,7.6638,10.3515,10.3636
EV_RECEITA,EV/Receita,Valuation,x,,0.9321,0.7469,0.7102,1.0572,0.5565,0.8275,0.8285
DY,Dividend Yield,Valuation,%,,,10.3805,12.9407,15.3996,11.8849,13.616,13.5798
PAYOUT,Payout,Valuation,%,,,218.1239,93.0432,84.6234,45.5009,73.0251,73.0251
ROE,ROE,Rentabilidade,%,50.5266,9.1679,2.7352,3.7239,9.3482,6.7328,7.1273,7.1273
ROA,ROA,Rentabilidade,%,8.0791,5.7165,1.8845,2.0416,4.4906,3.1897,3.3955,3.3955
ROIC,ROIC,Rentabilidade,%,18.4681,8.7699,3.1498,2.5523,4.6355,3.9477,3.7277,3.7277
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,13.5289,10.0965,7.9293,7.2042,12.1253,8.0156,9.4746,9.4746
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,10.26,11.935,4.7708,4.9062,10.2436,5.9032,6.7773,6.7773
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.0728,-17.3631,-3.2237,4.9609,4.0763,4.1229,4.8976,4.8976
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.381,-0.7156,-0.1475,0.27,0.4462,0.3741,0.4878,0.4878
ICJ,ICJ,Endividamento,x,6.1699,2.3417,1.5077,1.8672,5.3325,6.1883,14.0978,14.0978
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,85.8216,58.607,84.4416,36.8279,46.4753,59.2871,53.7447,53.7447
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.3533,5.0946,3.2699,2.8364,2.6267,2.2651,2.3192,2.3192
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0031,4.3771,1.5495,1.2698,1.3276,1.2292,1.1926,1.1926
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1387,4.1559,2.6444,1.9085,1.8233,1.8261,1.7522,1.7522
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7874,0.3113,0.3621,0.3681,0.4278,0.536,0.4843,0.4843
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,316.0477,317.3609,763.3204,719.7606,600.2785,466.5555,585.2543,585.2543
PME,PME,Eficiência,dias,132.3864,202.2477,608.3141,552.9044,397.7346,312.506,370.9242,370.9242
NCG_RECEITA,NCG/Receita,Eficiência,%,47.7887,31.7773,118.4771,121.6692,122.3322,92.1776,110.3145,110.3145
