cd_conta,ds_conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,18269.000,40902.000,55223.000,35843.000,46845.000,82197.000,60715.000,122095.000,48012.000,65076.000,143404.000,154761.000,85070.000,164663.000,154120.000,170143.000,138535.000,185239.000,171425.000,263427.000,190651.000,180476.000,276552.000,278713.000,245573.000,289633.000,292345.000,351887.000,239305.000,256864.000,243215.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-12001.000,-26510.000,-35096.000,-23551.000,-30509.000,-55761.000,-37749.000,-88604.000,-34147.000,-44340.000,-90895.000,-102119.000,-57676.000,-107572.000,-97592.000,-115430.000,-91336.000,-131106.000,-120874.000,-193878.000,-145506.000,-149861.000,-222647.000,-224261.000,-192352.000,-220765.000,-221209.000,-264128.000,-175775.000,-191419.000,-180770.000
3.03,Resultado Bruto,6268.000,14392.000,20127.000,12292.000,16336.000,26436.000,22966.000,33491.000,13865.000,20736.000,52509.000,52642.000,27394.000,57091.000,56528.000,54713.000,47199.000,54133.000,50551.000,69549.000,45145.000,30615.000,53905.000,54452.000,53221.000,68868.000,71136.000,87759.000,63530.000,65445.000,62445.000
3.04,Despesas/Receitas Operacionais,-6301.000,-7271.000,-9358.000,-9238.000,-9408.000,-8464.000,-14326.000,-24841.000,-17091.000,-18351.000,-24765.000,-41478.000,-29004.000,-36889.000,-43752.000,-45601.000,-32964.000,-43791.000,-43415.000,-51950.000,-24564.000,12482.000,-38960.000,-28841.000,-47685.000,-45357.000,-47337.000,-54965.000,-46000.000,-46766.000,-44211.000
3.04.02,Despesas Gerais e Administrativas,-3958.000,-3446.000,-2310.000,-7364.000,-5293.000,-6360.000,-6456.000,-8868.000,-10501.000,-14659.000,-17957.000,-15515.000,-17107.000,-19844.000,-19566.000,-23609.000,-22023.000,-22736.000,-24833.000,-36307.000,-7401.000,-28410.000,-26018.000,-27499.000,-26787.000,-32368.000,-32499.000,-31052.000,-23469.000,-23767.000,-23460.000
3.04.05,Outras Despesas Operacionais,-533.000,-176.000,-4294.000,1212.000,-1656.000,0.000,-2572.000,-693.000,-1638.000,-1019.000,-66.000,-1427.000,-900.000,-1486.000,-4430.000,748.000,0.000,-658.000,-10.000,1613.000,-3740.000,0.000,0.000,3087.000,-6677.000,0.000,0.000,6677.000,-3147.000,-5041.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,148.000,185.000,185.000,369.000,202.000,127.000,-10.000,186.000,24.000,10.000,0.000,0.000,0.000,0.000,0.000,234.000,1.000,-69.000,45.000,-35.000,-623.000,525.000,280.000,1095.000,520.000,2157.000,3217.000,3550.000,1613.000,3534.000,4652.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-33.000,7121.000,10769.000,3054.000,6928.000,17972.000,8640.000,8650.000,-3226.000,2385.000,27744.000,11164.000,-1610.000,20202.000,12776.000,9112.000,14235.000,10342.000,7136.000,17599.000,20581.000,43097.000,14945.000,25611.000,5536.000,23511.000,23799.000,32794.000,17530.000,18679.000,18234.000
3.06,Resultado Financeiro,-417.000,-57.000,-459.000,-314.000,-500.000,-821.000,-1594.000,-1545.000,-2363.000,8901.000,-2126.000,14402.000,-8491.000,4090.000,-4213.000,7047.000,-2911.000,-282.000,10382.000,-1340.000,2527.000,17329.000,-6208.000,-2090.000,2002.000,1943.000,4313.000,1876.000,3963.000,3360.000,2595.000
3.06.01,Receitas Financeiras,134.000,397.000,359.000,317.000,477.000,524.000,863.000,514.000,4.000,9786.000,4700.000,8224.000,4320.000,5997.000,7285.000,6414.000,7285.000,10710.000,5392.000,8872.000,4740.000,24161.000,-3538.000,5742.000,5905.000,5812.000,6871.000,5385.000,5123.000,4062.000,3412.000
3.06.02,Despesas Financeiras,-551.000,-454.000,-818.000,-631.000,-977.000,-1345.000,-2457.000,-2059.000,-2367.000,-885.000,-6826.000,6178.000,-12811.000,-1907.000,-11498.000,633.000,-10196.000,-10992.000,4990.000,-10212.000,-2213.000,-6832.000,-2670.000,-7832.000,-3903.000,-3869.000,-2558.000,-3509.000,-1160.000,-702.000,-817.000
