especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,109305235,109332095,109332095,1157732303,231546460,231546460,231356460,231355460,231355460,231329260,231329260,231006000,231065600,231065600,231065600,ON
PN,42183218,42183218,42183218,421832000,84366400,84366400,84556400,84557400,84557400,84583600,84583600,84906860,84847260,84847260,84847260,PN
TOTAL,151488453,151515313,151515313,1579564303,315912860,315912860,315912860,315912860,315912860,315912860,315912860,315912860,315912860,315912860,315912860,TOTAL
