Ticker,Preço_Fechamento,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
BEES3,Preço de Fechamento Ajustado,3.29,3.44,3.97,3.92,4.51,6.76,6.59,7.34,6.73,7.24,7.29,7.08,7.2,7.16,7.73
BEES4,Preço de Fechamento Ajustado,3.73,3.62,4.13,4.68,5.19,7.46,7.55,7.8,7.79,7.87,7.5,7.23,7.5,7.21,7.76
