cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,19507.0,18309.0,17656.0,21861.0,19127.0,17498.0,21354.0,29923.0,34134.0,34302.0,34378.0,38052.0,36977.0,38998.0,38371.0,39036.0,37691.0,39774.0,41539.0,43978.0,45613.0,63997.0,63159.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-3545.0,-1584.0,-2220.0,-4616.0,-3086.0,-2724.0,-2719.0,-5520.0,-7004.0,-4944.0,-4459.0,-5892.0,-5907.0,-6864.0,-8319.0,-8013.0,-7197.0,-8176.0,-8130.0,-9500.0,-15902.0,-27846.0,-28348.0
3.03,Resultado Bruto,15962.0,16725.0,15436.0,17245.0,16041.0,14774.0,18635.0,24403.0,27130.0,29358.0,29919.0,32160.0,31070.0,32134.0,30052.0,31023.0,30494.0,31598.0,33409.0,34478.0,29711.0,36151.0,34811.0
3.04,Despesas/Receitas Operacionais,-21710.0,-27862.0,-6841.0,-34343.0,-5469.0,-12382.0,-6996.0,-210840.0,-11960.0,-10338.0,-10480.0,-73234.0,-4568.0,-12400.0,-11481.0,-280929.0,-12856.0,-15013.0,-11886.0,-112193.0,-16002.0,-15324.0,-14045.0
3.04.02,Despesas Gerais e Administrativas,-3163.0,-7903.0,-7041.0,-9928.0,-4989.0,-11303.0,-6500.0,-219296.0,-9132.0,-7939.0,-8512.0,-101943.0,-5518.0,-11197.0,-10329.0,-304953.0,-12711.0,-15090.0,-12005.0,-116390.0,-10087.0,-13465.0,-13776.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,25108.0,-19876.0,14047.0,-4701.0,-222.0,-684.0,-363.0,-3845.0,-2118.0,-2092.0,-1522.0,-13551.0,-427.0,-225.0,-104.0,-17751.0,473.0,836.0,1003.0,-3465.0,-5223.0,-879.0,548.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,37672.0,-11137.0,22277.0,38626.0,10572.0,2392.0,11639.0,284937.0,15170.0,19020.0,19439.0,170950.0,35638.0,19734.0,18571.0,359714.0,17638.0,16585.0,21523.0,226181.0,13709.0,20827.0,20766.0
3.06,Resultado Financeiro,-19958.0,-12955.0,-12511.0,-24805.0,-24913.0,-25036.0,-20091.0,-29151.0,-17909.0,-22845.0,-12397.0,-24229.0,-27619.0,-25742.0,-20089.0,-23356.0,-28354.0,-31769.0,-33333.0,-36162.0,-38695.0,-48591.0,-46794.0
