especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,3256724482,3256724482,3256724482,3256724482,3217188402,3217188402,3217188402,5284474770,5284474770,5284474770,5284474770,4999040051,4539007568,4539007568,4539007568,ON
PN,2108579618,2108579618,2108579618,2108579618,2027127718,2027127718,2027127718,12,12,12,12,12,12,12,12,PN
TOTAL,5365304100,5365304100,5365304100,5365304100,5244316120,5244316120,5244316120,5284474782,5284474782,5284474782,5284474782,4999040063,4539007580,4539007580,4539007580,TOTAL
