cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,170723.000,167305.000,158528.000,178009.500,197491.000,198046.000,230326.000,275089.000,312261.000,332832.000,327959.000,298208.000,316067.000,339382.000,400412.000,436344.000,390173.000,485500.000,556729.000,639621.000,500528.000,697552.000,718894.000,672423.000,608288.000,783815.000,814415.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-111377.000,-115951.000,-102371.000,-112422.000,-122473.000,-125973.000,-146698.000,-174192.000,-206561.000,-232386.000,-224821.000,-210723.000,-228463.000,-250861.000,-283421.000,-299539.000,-249484.000,-311376.000,-378304.000,-429543.000,-334060.000,-467931.000,-480867.000,-450160.000,-408600.000,-520759.000,-566289.000
3.03,Resultado Bruto,59346.000,51354.000,56157.000,65587.500,75018.000,72073.000,83628.000,100897.000,105700.000,100446.000,103138.000,87485.000,87604.000,88521.000,116991.000,136805.000,140689.000,174124.000,178425.000,210078.000,166468.000,229621.000,238027.000,222263.000,199688.000,263056.000,248126.000
3.04,Despesas/Receitas Operacionais,-29595.000,-31571.000,-30384.000,-40305.000,-50226.000,-34934.000,-43402.000,-52545.000,-50259.000,-72547.000,-54941.000,-55262.000,-58770.000,-63715.000,-73822.000,-71741.000,-92024.000,-91768.000,-88746.000,-110245.000,-109241.000,-110857.000,-83340.000,-105210.000,-103695.000,-132552.000,-129808.000
3.04.02,Despesas Gerais e Administrativas,-13425.000,-11726.000,-11795.000,-14022.000,-16249.000,-12506.000,-10089.000,-20372.000,-15721.000,-25743.000,-16393.000,-21743.000,-21150.000,-21101.000,-24761.000,-22110.000,-27591.000,-28144.000,-29208.000,-33177.000,-36114.000,-38345.000,-38180.000,-41320.000,-41835.000,-50640.000,-45233.000
3.04.05,Outras Despesas Operacionais,-17343.000,-366.000,0.000,-16108.500,-32217.000,-281.000,0.000,-89393.000,-33032.000,-46459.000,0.000,-73916.000,-33478.000,-39921.000,0.000,-105063.000,-49374.000,0.000,0.000,-214816.000,-54754.000,0.000,0.000,-197815.000,-53820.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,-1316.000,1316.000,0.000,1.000,0.000,-3.000,-3.000,1.000,-3.000,-459.000,0.000,-195.000,-146.000,-132.000,0.000,-248.000,0.000,-1872.000,-94.000,-755.000,-234.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,29751.000,19783.000,25773.000,25282.500,24792.000,37139.000,40226.000,48352.000,55441.000,27899.000,48197.000,32223.000,28834.000,24806.000,43169.000,65064.000,48665.000,82356.000,89679.000,99833.000,57227.000,118764.000,154687.000,117053.000,95993.000,130504.000,118318.000
3.06,Resultado Financeiro,882.000,176.000,282.000,433.000,584.000,-5029.000,-1969.000,8092.000,597.000,-2979.000,-1391.000,1910.000,1119.000,1445.000,1244.000,640.000,4881.000,-1311.000,724.000,-289.000,3823.000,-465.000,-6504.000,1762.000,1685.000,-6002.000,-459.000
3.06.01,Receitas Financeiras,1968.000,1455.000,1477.000,3182.000,4887.000,2663.000,1041.000,-2215.000,1324.000,1128.000,1559.000,3402.000,5494.000,7485.000,8658.000,7175.000,11630.000,6219.000,10350.000,8690.000,10577.000,7077.000,13260.000,46059.000,22403.000,21632.000,26395.000
