cd_conta,conta,2019T1,2019T2,2019T3,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-1684.000,44780.000,37925.000,-22759.000,5024.000,16413.000,2061.000,-3892.000,63718.000,11326.000,2559.000,7062.000,35045.000,12733.000,13774.000,-20781.000,72471.000,167450.000,95520.000,3297.000,108928.000,109868.000,67660.000,-90348.000,-118863.000,-116493.000
6.01.DA,Depreciação e Amortização,2473.000,5506.000,8630.000,4433.000,3768.000,3510.000,-11431.000,187.000,192.000,151.000,166.000,258.000,240.000,328.000,512.000,418.000,756.000,1215.000,-681.000,748.000,1521.000,1553.000,207.000,1063.000,1583.000,16881.000
6.02,Caixa Líquido Atividades de Investimento,-10354.000,-7139.000,-11486.000,255.000,-5749.000,-5500.000,-745.000,-6607.000,-9006.000,-6044.000,-96230.000,9558.000,-11288.000,-21129.000,815.000,12362.000,-92105.000,-32768.000,88555.000,26124.000,-92607.000,87436.000,-2038.000,-6325.000,-26678.000,-12609.000
6.03,Caixa Líquido Atividades de Financiamento,-9484.000,-69557.000,-92577.000,37759.000,64746.000,48871.000,-95081.000,86318.000,-88576.000,-27507.000,70056.000,-15459.000,-10818.000,-14875.000,48481.000,-54152.000,-73432.000,-187828.000,82653.000,-128015.000,1206.000,181118.000,58608.000,-221155.000,-89927.000,340384.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-21522.000,-31916.000,-66138.000,15255.000,64021.000,59784.000,-93765.000,75819.000,-33864.000,-22225.000,-23615.000,1161.000,12939.000,-23271.000,63070.000,-62571.000,-93066.000,-53146.000,266728.000,-98594.000,17527.000,378422.000,124230.000,-317828.000,-235468.000,211282.000
