especie,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,15670882544,15717615419,15717615419,15717615419,15722147311,15727281737,15735117965,15739243302,15750216851,15753833284,15757657336,15761638756,ON
TOTAL,15670882544,15717615419,15717615419,15717615419,15722147311,15727281737,15735117965,15739243302,15750216851,15753833284,15757657336,15761638756,TOTAL
