cd_conta,conta,2013T2,2013T3,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,2433604.000,9909289.000,1578030.000,4189581.000,7123826.000,3004236.000,3232194.000,7104306.000,12593030.000,651416.000,-2214818.000,-132941.000,4411613.000,10280659.000,1984496.000,4409130.000,8973078.000,2507358.000,792295.000,3867717.000,9125034.000,4126149.000,2080145.000,5194219.000,8746406.000,2360489.000,1544057.000,3382822.000,10462224.000,3466677.000,2836858.000,4677304.000,11075462.000,4311327.000,519756.000,2721959.000,8831353.000,8569085.000,-576267.000,2839438.000,10762417.000,11685841.000,718199.000,4076325.000,12184757.000,9119754.000,1203972.000,4254012.000,11198356.000
6.01.DA,Depreciação e Amortização,1037944.000,1572819.000,542648.000,1094233.000,1686499.000,-964758.000,684015.000,1450855.000,2190250.000,-1278358.000,860921.000,1719496.000,2595170.000,-1663582.000,827570.000,1699965.000,2617635.000,-1533087.000,869095.000,1792309.000,2861299.000,-1499649.000,1046498.000,2155656.000,3411113.000,-1938039.000,1174012.000,2476203.000,3803147.000,-2286012.000,1263530.000,2563678.000,3934218.000,-2364739.000,1330963.000,2800578.000,4323990.000,-2499281.000,1526837.000,3230756.000,4902238.000,-3241919.000,1632327.000,3352178.000,5082448.000,-2940509.000,1713251.000,3415654.000,5015001.000
6.02,Caixa Líquido Atividades de Investimento,-1257039.000,-2709273.000,-944373.000,-2031216.000,-3380031.000,1587543.000,-1203708.000,-2243631.000,-3616208.000,1066480.000,-2364785.000,-3682016.000,-4521176.000,4670069.000,-607583.000,-1323463.000,-1970828.000,828872.000,-3558340.000,-1384102.000,-2380691.000,3647427.000,-383135.000,-1277492.000,-2925936.000,-252027.000,-1670692.000,-2485616.000,-5149524.000,2506261.000,-1722921.000,-2578039.000,-5054706.000,1620784.000,-307198.000,-2259531.000,-3908474.000,1471064.000,-1080727.000,-2299097.000,-3509221.000,1123061.000,-1779632.000,-2858688.000,-3992719.000,3167551.000,-784447.000,-1745708.000,-2915701.000
6.03,Caixa Líquido Atividades de Financiamento,-5678904.000,-11493508.000,-4534501.000,-7263270.000,-9767683.000,8421691.000,-5819645.000,-8551855.000,-10632767.000,9676328.000,-2697169.000,-3761398.000,-6016930.000,830355.000,-1857158.000,-2319063.000,-6288991.000,-2398925.000,521558.000,-2555802.000,-5190414.000,-5996954.000,-383831.000,-661070.000,-1935480.000,-9303083.000,-147582.000,1838491.000,976968.000,-11269872.000,-1777751.000,-5672593.000,-5517573.000,-3073906.000,-2719620.000,-2731066.000,-3657560.000,-7229660.000,-1016330.000,-2722903.000,-4124952.000,-8251022.000,-2302102.000,-4001333.000,-5089223.000,1040670.000,-8826875.000,-12786623.000,-16035186.000
6.04,Variação Cambial s/ Caixa e Equivalentes,10317.000,153538.000,-341710.000,-407746.000,-112212.000,962572.000,947911.000,775760.000,1522750.000,-1507717.000,-333528.000,-488974.000,-436176.000,716442.000,-167461.000,86828.000,-249420.000,869016.000,-154898.000,338196.000,295351.000,-381763.000,45847.000,-523613.000,-331574.000,-12721.000,1578047.000,2111860.000,2791258.000,-4745686.000,859547.000,-341726.000,151071.000,-286289.000,-1293663.000,-717867.000,-588640.000,1554970.000,-121775.000,-656465.000,-567860.000,-277227.000,149056.000,879127.000,622544.000,602377.000,-1069962.000,-1913322.000,-2535436.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-4492022.000,-4139954.000,-4242554.000,-5512651.000,-6136100.000,13976042.000,-2843248.000,-2915420.000,-133195.000,9886507.000,-7610300.000,-8065329.000,-6562669.000,16497525.000,-647706.000,853432.000,463839.000,1806321.000,-2399385.000,266009.000,1849280.000,1394859.000,1359026.000,2732044.000,3553416.000,-7207342.000,1303830.000,4847557.000,9080926.000,-10042620.000,195733.000,-3915054.000,654254.000,2571916.000,-3800725.000,-2986505.000,676679.000,4365459.000,-2795099.000,-2839027.000,2560384.000,4280653.000,-3214479.000,-1904569.000,3725359.000,13930352.000,-9477312.000,-12191641.000,-10287967.000
