cd_conta,conta,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,5.8739269e+17,5.9618974e+17,6.8674019e+17,6.3297044e+17,6.2989043e+17,6.5125922e+17,7.2143203e+17,7.5101185e+17,7.4436162e+17,8.8043173e+17,9.0176234e+17,8.0248015e+17,7.6656712e+17,7.9110196e+17,8.3841418e+17,8.0733942e+17,8.4124011e+17,8.3020423e+17,8.6851989e+17,8.2378945e+17,9.0921356e+17,9.5691043e+17,9.4126138e+17,9.6905532e+17,9.8738979e+17,1.02475317e+18,1.01742944e+18,1.13687561e+18,1.21393008e+18,1.27056787e+18,1.25196579e+18,1.33417831e+18,1.24440135e+18,1.35133255e+18,1.38602483e+18,1.2739992e+18,1.36633408e+18,1.42063954e+18,1.37958083e+18,1.35466722e+18,1.33294415e+18,1.37914205e+18,1.32644133e+18,1.33816801e+18,1.43438846e+18,1.47286361e+18,1.62507949e+18,1.47298979e+18,1.42157543e+18,1.40754995e+18
2.01,Passivo Circulante,1.0060018e+17,1.054478e+17,1.7180582e+17,1.6170391e+17,1.4456702e+17,1.4590587e+17,2.1824783e+17,2.1767886e+17,2.0728313e+17,2.805575e+17,3.0141913e+17,2.1904014e+17,2.1894846e+17,2.1877422e+17,2.877365e+17,2.3904354e+17,2.6015981e+17,2.3481745e+17,2.8688476e+17,2.2850307e+17,2.7354843e+17,2.556e+17,2.482837e+17,2.3252886e+17,2.264099e+17,2.1842335e+17,2.5011033e+17,2.5218123e+17,2.9238994e+17,3.0275317e+17,3.3477964e+17,3.1880721e+17,2.8791526e+17,3.1107336e+17,3.8866406e+17,3.3179146e+17,3.3897653e+17,3.4979736e+17,4.0540538e+17,3.5632377e+17,3.4121757e+17,3.3845767e+17,4.1004897e+17,3.4911823e+17,3.4618169e+17,3.5673114e+17,4.9388714e+17,3.9343473e+17,3.6872239e+17,3.6577101e+17
2.01.01,Obrigações Sociais e Trabalhistas,4562420000000000.0,5420830000000000.0,7220900000000000.0,5313160000000000.0,4882360000000000.0,5773730000000000.0,5983600000000000.0,6155760000000000.0,7137700000000000.0,9909270000000000.0,9155420000000000.0,6627980000000000.0,6879570000000000.0,7762590000000000.0,6866270000000000.0,7509980000000000.0,7994880000000000.0,8580840000000000.0,1.047182e+16,7799450000000000.0,8795280000000000.0,1.032645e+16,8516190000000000.0,8631810000000000.0,1.071641e+16,9578560000000000.0,8330250000000000.0,9763420000000000.0,1.178142e+16,1.229339e+16,9255310000000000.0,1.287634e+16,1.695244e+16,2.199969e+16,2.439448e+16,1.553475e+16,1.785527e+16,2.225623e+16,2.335826e+16,1.773595e+16,1.938687e+16,2.257716e+16,2.128547e+16,1.678889e+16,2.064623e+16,2.531598e+16,2.779753e+16,2.073375e+16,2.136546e+16,2.316966e+16
2.01.02,Fornecedores,4.911666e+16,5.53242e+16,7.925421e+16,6.828317e+16,6.617454e+16,6.950304e+16,8.708739e+16,8.199044e+16,7.349535e+16,8.781517e+16,1.1109093e+17,9.152026e+16,7.417783e+16,7.698589e+16,9.793009e+16,8.684987e+16,7.683124e+16,7.81357e+16,1.0418429e+17,9.574965e+16,9.48926e+16,1.043794e+17,1.2774162e+17,1.1911196e+17,1.1107836e+17,1.1138461e+17,1.4178858e+17,1.506427e+17,1.3478485e+17,1.5023057e+17,1.8182126e+17,1.9437337e+17,1.7872743e+17,1.8379167e+17,2.3867688e+17,2.0847248e+17,1.9865475e+17,2.0335489e+17,2.3498099e+17,2.0617745e+17,1.747073e+17,1.7249379e+17,2.1278615e+17,1.9994473e+17,1.8909452e+17,1.9077242e+17,2.4042927e+17,2.1473956e+17,1.8987312e+17,1.8333267e+17
2.01.03,Obrigações Fiscais,2.274949e+16,2.238735e+16,3.122569e+16,2.990676e+16,2.888665e+16,2.231823e+16,3.543689e+16,3.0421e+16,2.88373e+16,3.238257e+16,4.342096e+16,2.862961e+16,2.386839e+16,2.947038e+16,4.282418e+16,3.077053e+16,3.051012e+16,4.473759e+16,5.493847e+16,3.89705e+16,4.370681e+16,3.717106e+16,5.340211e+16,3.878339e+16,3.700531e+16,3.853627e+16,5.502699e+16,3.069822e+16,4.608242e+16,4.582546e+16,5.716868e+16,3.628035e+16,3.643949e+16,4.342769e+16,6.07696e+16,5.040107e+16,4.642735e+16,4.844624e+16,6.931486e+16,4.660749e+16,4.809037e+16,5.551738e+16,7.577118e+16,5.167586e+16,5.420258e+16,5.690901e+16,7.589939e+16,5.954771e+16,5.203217e+16,5.380445e+16
2.01.04,Empréstimos e Financiamentos,8970020000000000.0,8978540000000000.0,1.040603e+16,9222650000000000.0,8696940000000000.0,7948860000000000.0,9880560000000000.0,9945180000000000.0,1.058483e+16,9973270000000000.0,1.282573e+16,1.666384e+16,1.665114e+16,2.51751e+16,3.630604e+16,3.469544e+16,3.59084e+16,1.968899e+16,1.321122e+16,3.278899e+16,3.715532e+16,3.735559e+16,1.56063e+16,2.657486e+16,2.563965e+16,1.719831e+16,6531490000000000.0,7800900000000000.0,4.118691e+16,4.318163e+16,2.738773e+16,2.598909e+16,8547580000000000.0,8892550000000000.0,8471180000000000.0,8158610000000000.0,8943620000000000.0,7615100000000000.0,9825690000000000.0,1.138029e+16,1.320426e+16,1.235671e+16,1.298091e+16,1.646816e+16,1.244698e+16,1.211089e+16,1.276391e+16,1.120592e+16,1.100578e+16,1.049136e+16
2.01.05,Outras Obrigações,1.380137e+16,1.197659e+16,4.224941e+16,4.753495e+16,3.437598e+16,3.905387e+16,7.846705e+16,8.775508e+16,8.513803e+16,1.3925793e+17,1.236946e+17,7.438442e+16,9.618667e+16,7.769344e+16,1.0212356e+17,7.753211e+16,1.0722792e+17,8.198771e+16,1.0238939e+17,5.150717e+16,8.725583e+16,6.463596e+16,4.128751e+16,3.797686e+16,4.054273e+16,4.029292e+16,3.733269e+16,5.207574e+16,5.735124e+16,5.003849e+16,5.789754e+16,4.790157e+16,4.551266e+16,5.119426e+16,5.462874e+16,4.739385e+16,6.526971e+16,6.629404e+16,6.611831e+16,7.259989e+16,8.10321e+16,7.199973e+16,8.304137e+16,5.911806e+16,6.476673e+16,6.661954e+16,1.3258793e+17,8.258789e+16,8.772917e+16,9.025719e+16
2.01.06,Provisões,1400220000000000.0,1360290000000000.0,1449580000000000.0,1443220000000000.0,1550550000000000.0,1308140000000000.0,1392340000000000.0,1411400000000000.0,2089920000000000.0,1219290000000000.0,1231490000000000.0,1214030000000000.0,1184860000000000.0,1686820000000000.0,1686360000000000.0,1685610000000000.0,1687250000000000.0,1686620000000000.0,1689570000000000.0,1687310000000000.0,1742590000000000.0,1731540000000000.0,1729970000000000.0,1449980000000000.0,1427440000000000.0,1432680000000000.0,1100330000000000.0,1200250000000000.0,1203100000000000.0,1183630000000000.0,1249120000000000.0,1386490000000000.0,1735660000000000.0,1767500000000000.0,1723180000000000.0,1830700000000000.0,1825830000000000.0,1830860000000000.0,1807270000000000.0,1822700000000000.0,4796670000000000.0,3512900000000000.0,4183890000000000.0,5122530000000000.0,5024650000000000.0,5003300000000000.0,4409110000000000.0,4619900000000000.0,5364130000000000.0,4715680000000000.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352560000000000.0,0.0
2.02,Passivo Não Circulante,9.12257e+16,9.388595e+16,7.496039e+16,7.021086e+16,6.583738e+16,6.911235e+16,6.673751e+16,7.220915e+16,7.782061e+16,9.6847e+16,9.700688e+16,9.323895e+16,8.699247e+16,8.068854e+16,8.416495e+16,8.148715e+16,8.375968e+16,1.0599e+17,1.0180658e+17,9.76039e+16,1.0126972e+17,1.0108688e+17,1.1750344e+17,1.3162009e+17,1.3169213e+17,1.361153e+17,1.4175906e+17,1.6360368e+17,1.6621717e+17,1.7207325e+17,1.6567491e+17,1.7906715e+17,1.5546803e+17,1.5861121e+17,1.571846e+17,1.4024333e+17,1.5148729e+17,1.5532747e+17,1.4089718e+17,1.3397478e+17,1.2806687e+17,1.250726e+17,1.1495434e+17,1.1528262e+17,1.2785325e+17,1.272917e+17,1.3538721e+17,1.2479612e+17,1.2074347e+17,1.1449482e+17
2.02.01,Empréstimos e Financiamentos,2.111693e+16,2.101849e+16,1.853452e+16,1.832055e+16,1.787039e+16,1.719091e+16,1.634567e+16,1.696525e+16,1.60753e+16,1.988194e+16,2.316903e+16,2.293456e+16,1.96821e+16,1.691886e+16,1.765706e+16,1.663384e+16,1.326796e+16,1.360712e+16,1.231928e+16,1.188756e+16,1.141463e+16,1.245212e+16,8621380000000000.0,2.427752e+16,2.334348e+16,2.370327e+16,2.409655e+16,2.69336e+16,2.664138e+16,2.536844e+16,2.053455e+16,2.428252e+16,2.135837e+16,2.138458e+16,2.253406e+16,2.170483e+16,2.30168e+16,2.21897e+16,2.788137e+16,2.651322e+16,2.671857e+16,2.482e+16,2.202975e+16,2.170614e+16,2.211454e+16,2.169184e+16,2.176337e+16,2.097578e+16,2.057186e+16,1.845381e+16
2.02.02,Outras Obrigações,5.114876e+16,5.287567e+16,3.115208e+16,3.042328e+16,2.629108e+16,3.116704e+16,2.758333e+16,3.051086e+16,3.180053e+16,4.304746e+16,4.410726e+16,4.144575e+16,4.090868e+16,4.244476e+16,3.555697e+16,3.41521e+16,3.895222e+16,6.437928e+16,6.106921e+16,5.703508e+16,5.753285e+16,5.749287e+16,8.037412e+16,7.885983e+16,7.891951e+16,8.407954e+16,9.024181e+16,1.0438086e+17,1.0608979e+17,1.1017563e+17,1.1023588e+17,1.1593668e+17,1.0148846e+17,1.0411817e+17,9.647315e+16,8.331871e+16,8.709542e+16,8.727029e+16,6.836907e+16,6.254553e+16,5.939971e+16,5.601405e+16,5.414397e+16,5.153613e+16,5.43855e+16,5.371481e+16,5.683769e+16,5.336643e+16,5.31901e+16,4.832179e+16
2.02.03,Tributos Diferidos,1.437614e+16,1.547059e+16,2.095686e+16,1.712877e+16,1.720917e+16,1.701318e+16,1.737631e+16,1.896973e+16,2.249273e+16,2.70454e+16,2.473535e+16,2.461468e+16,2.204757e+16,1.734526e+16,2.329722e+16,2.226851e+16,2.264462e+16,2.27654e+16,2.329229e+16,2.377971e+16,2.740088e+16,2.581367e+16,2.424567e+16,2.394771e+16,2.475956e+16,2.368661e+16,2.371098e+16,2.861787e+16,2.985431e+16,3.184147e+16,3.043362e+16,3.439366e+16,2.849432e+16,2.756666e+16,3.213967e+16,2.940481e+16,3.521593e+16,3.783459e+16,3.725692e+16,3.759787e+16,3.725715e+16,3.95625e+16,3.318448e+16,3.718607e+16,4.554117e+16,4.567515e+16,5.007711e+16,4.500103e+16,4.219505e+16,4.016803e+16
2.02.04,Provisões,4583870000000000.0,4521200000000000.0,4316930000000000.0,4338260000000000.0,4466740000000000.0,3741220000000000.0,5432200000000000.0,5763310000000000.0,7452050000000000.0,6872200000000000.0,4995240000000000.0,4243960000000000.0,4354120000000000.0,3979660000000000.0,7653700000000000.0,8432700000000000.0,8894880000000000.0,5238200000000000.0,5125800000000000.0,4901550000000000.0,4921360000000000.0,5328220000000000.0,4262270000000000.0,4535030000000000.0,4669580000000000.0,4645880000000000.0,3709720000000000.0,3671350000000000.0,3631690000000000.0,4687710000000000.0,4470860000000000.0,4454290000000000.0,4126880000000000.0,5541800000000000.0,6037720000000000.0,5814980000000000.0,6159140000000000.0,8032890000000000.0,7389820000000000.0,7318160000000000.0,4691440000000000.0,4676050000000000.0,5596140000000000.0,4854280000000000.0,5812040000000000.0,6209900000000000.0,6709040000000000.0,5452880000000000.0,4786460000000000.0,7551190000000000.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,3.9556681e+17,3.9685599e+17,4.3997398e+17,4.0105567e+17,4.1948603e+17,4.36241e+17,4.3644669e+17,4.6112384e+17,4.5925788e+17,5.0302723e+17,5.0333633e+17,4.9020106e+17,4.6062619e+17,4.916392e+17,4.6651273e+17,4.8680873e+17,4.9732062e+17,4.8939678e+17,4.7982855e+17,4.9768248e+17,5.3439541e+17,6.0022355e+17,5.7547424e+17,6.0490637e+17,6.2928776e+17,6.7021452e+17,6.2556005e+17,7.210907e+17,7.5532297e+17,7.9574145e+17,7.5151124e+17,8.3630395e+17,8.0101806e+17,8.8164798e+17,8.4017617e+17,8.0196441e+17,8.7587026e+17,9.1551471e+17,8.3327827e+17,8.6436867e+17,8.6365971e+17,9.1561178e+17,8.0143802e+17,8.7376716e+17,9.6035352e+17,9.8884077e+17,9.9580514e+17,9.5475894e+17,9.3210957e+17,9.2728412e+17
2.03.01,Capital Social Realizado,8.45594e+16,5.6983341e+17,5.700079e+17,5.7026677e+17,5.7131286e+17,5.7508839e+17,5.7582349e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.761414e+17,5.7710202e+17,5.7710202e+17,5.7710202e+17,5.7710202e+17,5.7798844e+17,5.7800996e+17,5.7866759e+17,5.7866759e+17,5.7899073e+17,5.7899073e+17,5.7899073e+17,5.7899073e+17,5.7973874e+17,5.8006296e+17,5.8006296e+17,5.8042464e+17,5.8130517e+17,5.8130517e+17,5.8130517e+17,5.8130517e+17,5.8177929e+17,5.8177929e+17,5.8177929e+17,5.8177929e+17,5.8226036e+17,5.8226036e+17,5.8226036e+17,5.8226036e+17,5.8275087e+17,5.8275696e+17,5.8275696e+17
2.03.02,Reservas de Capital,7.210126e+16,5.5776863e+17,5.5362431e+17,5.5384994e+17,5.5309121e+17,5.5095531e+17,5.5023269e+17,5.4986123e+17,5.4621647e+17,5.430259e+17,5.4373451e+17,5.4419078e+17,5.4449936e+17,5.4490884e+17,5.452978e+17,5.4527032e+17,5.4583876e+17,5.4612604e+17,5.4700909e+17,5.4641958e+17,5.4697005e+17,5.4736717e+17,5.4781194e+17,5.4740387e+17,5.4811669e+17,5.4779298e+17,5.4811462e+17,5.4827527e+17,5.4877111e+17,5.4941054e+17,5.4985511e+17,5.4977756e+17,5.5033196e+17,5.5141191e+17,5.5187188e+17,5.515418e+17,5.5175732e+17,5.5242486e+17,5.5339694e+17,5.5405787e+17,5.5475057e+17,5.5506947e+17,5.5479564e+17,5.5504886e+17,5.5280462e+17,5.5370974e+17,5.533641e+17,5.4346221e+17,5.3667754e+17,5.3766977e+17
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,1.043995e+16,1.043995e+16,5.857853e+16,1.854524e+16,1.854524e+16,1.854524e+16,4.883945e+16,2.904091e+16,2.904091e+16,2.904091e+16,8.201323e+16,6.162152e+16,6.162152e+16,6.162152e+16,9.700248e+16,9.700248e+16,9.700248e+16,9.700248e+16,8.660235e+16,8.660235e+16,8.660235e+16,8.660235e+16,1.5434093e+17,1.5341367e+17,1.5341367e+17,1.5341367e+17,2.0874268e+17,2.0874268e+17,2.0874268e+17,2.0874268e+17,2.5920061e+17,2.5920061e+17,2.5920061e+17,2.5920061e+17,3.119164e+17,3.119164e+17,3.119164e+17,3.119164e+17,3.69069e+17,3.69069e+17,3.69069e+17,3.69069e+17,4.318984e+17,4.318984e+17,4.318984e+17,4.318984e+17,5.3637019e+17,5.3140419e+17,5.3140419e+17,5.3140419e+17
2.03.05,Lucros/Prejuízos Acumulados,3676540000000000.0,6213740000000000.0,0.0,1.425929e+16,3.592811e+16,3.895621e+16,0.0,1.867697e+16,2.805802e+16,3.404144e+16,0.0,2.766865e+16,2.772905e+16,5.834137e+16,0.0,2.199284e+16,1.699355e+16,1.699578e+16,0.0,2.160529e+16,1.962738e+16,7.244091e+16,0.0,3.023305e+16,5.972243e+16,8.665336e+16,0.0,1.391979e+16,2.92465e+16,5.605921e+16,0.0,3.220705e+16,6.552945e+16,1.0585966e+17,0.0,4.136652e+16,8.119815e+16,1.230753e+17,0.0,4.969475e+16,8.732403e+16,1.3770686e+17,0.0,6.532773e+16,1.0581388e+17,1.4834556e+17,0.0,2.993887e+16,4.324819e+16,7.429566e+16
