especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,93033067,145094203,156508015,156899212,236883455,236874031,278916250,329805243,329805243,329805243,50854986,55521868,124741981,124741981,619625846
PN,47730533,50636715,73523850,74408814,81889474,81898898,81899063,87392001,87392001,87392001,49287480,53958180,124741975,124741975,124741975
TOTAL,140763600,195730918,230031865,231308026,318772929,318772929,360815313,417197244,417197244,417197244,100142466,109480048,249483956,249483956,744367821
