Ticker,Preço_Fechamento,2010T1,2010T2,2010T3,2011T1,2011T2,2011T3,2012T1,2012T2,2012T3,2013T1,2013T2,2013T3,2014T1,2014T2,2014T3,2015T1,2015T2,2015T3,2016T1,2016T2,2016T3,2017T1,2017T2,2017T3,2018T1,2018T2,2018T3,2019T1,2019T2,2019T3,2020T1,2020T2,2020T3,2021T1,2021T2,2021T3,2022T1,2022T2,2022T3,2023T1,2023T2,2023T3,2024T1,2024T2,2024T3,2025T1,2025T2,2025T3
RNEW3,Preço de Fechamento Ajustado,,,,,,,,,,,,378.74,399.27,399.27,399.27,399.27,399.07,419.24,379.31,380.0,280.0,37.2,56.0,64.0,19.6,13.2,18.2,22.6,15.28,14.4,7.78,6.8,5.76,9.06,8.9,6.1,3.96,3.56,4.8,3.36,3.32,2.42,2.36,1.82,2.22,1.94,0.85,1.11
RNEW4,Preço de Fechamento Ajustado,,,,,,,,,,,,,,,,,,,,,,34.2,42.0,55.8,18.4,11.0,16.2,22.34,13.96,12.6,5.26,5.94,5.96,8.0,7.7,5.66,3.78,3.36,4.62,3.34,3.54,2.4,2.4,1.82,2.26,1.94,0.89,1.04
