cd_conta,conta,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,3168308.000,3121129.000,3108413.000,3186097.000,3340186.000,3243082.000,3316119.000,3298645.000,3614093.000,4699201.000,4775378.000,4861771.000,5319851.000,5659303.000,5731590.000,6008409.000,6309836.000,6464249.000,6496808.000,6759816.000,7116260.000,7352005.000,11187695.000,11098713.000,12582526.000,12248255.000,13026646.000,12755168.000,13044951.000,13828088.000,14149796.000,14018263.000,14406185.000,14775506.000,15536792.000,16168799.000,16523469.000,17185306.000,18249424.000,17745436.000,19386533.000,20094412.000,20651653.000,20705524.000,21955996.000,22163756.000,22633253.000,23052470.000,23825807.000
2.01,Passivo Circulante,791232.000,737440.000,708320.000,780022.000,863276.000,740178.000,807105.000,790638.000,1020004.000,1648766.000,1720911.000,1667074.000,2011120.000,2184684.000,2229284.000,2193715.000,2416676.000,2493779.000,2575363.000,2438100.000,2728540.000,2913445.000,3354458.000,3397142.000,3821688.000,4078485.000,4493777.000,4014825.000,4190201.000,4801303.000,4764005.000,4827509.000,5155725.000,5896193.000,5886656.000,5696660.000,6040544.000,6367168.000,7620315.000,6956948.000,7699923.000,8079497.000,8386386.000,7900192.000,9298238.000,9194959.000,9746165.000,9498773.000,9871106.000
2.01.01,Obrigações Sociais e Trabalhistas,92460.000,85344.000,105472.000,120587.000,92899.000,93266.000,111195.000,139259.000,116352.000,165409.000,164596.000,209616.000,239457.000,199378.000,193325.000,224889.000,251623.000,202799.000,205256.000,254223.000,288636.000,237541.000,239842.000,298981.000,346203.000,296674.000,293518.000,415427.000,409272.000,309160.000,319416.000,413458.000,484720.000,420356.000,431110.000,529538.000,617246.000,561624.000,526308.000,626385.000,735011.000,636393.000,604956.000,716546.000,816546.000,686526.000,659894.000,793421.000,911664.000
2.01.02,Fornecedores,536399.000,495722.000,409832.000,466636.000,575587.000,456464.000,489390.000,445899.000,671455.000,1203382.000,1157077.000,1079108.000,1325003.000,1615587.000,1483477.000,1396475.000,1558784.000,1815687.000,1832996.000,1670111.000,1862896.000,2141274.000,2019929.000,1959370.000,2279946.000,2653236.000,2784446.000,2232218.000,2339320.000,3106938.000,3196509.000,2682595.000,2850605.000,3656607.000,3600986.000,3538545.000,3753794.000,4258917.000,5106694.000,4105650.000,4645177.000,5091454.000,5591928.000,4889697.000,5703764.000,5815084.000,6049990.000,5646808.000,6113315.000
2.01.03,Obrigações Fiscais,30035.000,35257.000,49165.000,40998.000,40489.000,36772.000,45408.000,39721.000,65920.000,55878.000,79309.000,73495.000,89001.000,96731.000,127157.000,116917.000,121243.000,130432.000,98994.000,83199.000,82483.000,92964.000,118993.000,132659.000,99021.000,102671.000,161355.000,119333.000,123285.000,138671.000,143983.000,151859.000,153703.000,154773.000,176333.000,239696.000,186321.000,213298.000,263123.000,310176.000,289770.000,360571.000,360409.000,411333.000,414070.000,364904.000,400324.000,403672.000,472454.000
2.01.04,Empréstimos e Financiamentos,50325.000,51678.000,64443.000,61011.000,60712.000,61551.000,71246.000,79878.000,83944.000,108192.000,108676.000,111742.000,117787.000,132581.000,167929.000,240625.000,231775.000,196248.000,186160.000,227243.000,237205.000,272939.000,280765.000,274744.000,247469.000,228661.000,533458.000,537353.000,536490.000,531204.000,206650.000,622706.000,630096.000,613831.000,533454.000,228200.000,134789.000,186356.000,443799.000,569822.000,581004.000,604601.000,311914.000,415442.000,619037.000,637110.000,763465.000,937767.000,522497.000
2.01.05,Outras Obrigações,72935.000,60371.000,69431.000,78910.000,79468.000,79844.000,80044.000,75383.000,68597.000,101991.000,197222.000,176387.000,221216.000,118904.000,230941.000,190365.000,235320.000,136821.000,231581.000,188029.000,241012.000,144193.000,663016.000,705338.000,795845.000,739928.000,655776.000,643076.000,706245.000,645907.000,802513.000,857938.000,913203.000,942073.000,1017384.000,1028613.000,1206025.000,997575.000,1102693.000,1186505.000,1290890.000,1111194.000,1211308.000,1285722.000,1549385.000,1609506.000,1326746.000,1488806.000,1802841.000
2.01.06,Provisões,9078.000,9068.000,9977.000,11880.000,14121.000,12281.000,9822.000,10498.000,13736.000,13914.000,14031.000,16726.000,18656.000,21503.000,26455.000,24444.000,17931.000,11792.000,20376.000,15295.000,16308.000,24534.000,31913.000,26050.000,53204.000,57315.000,65224.000,67418.000,75589.000,69423.000,94934.000,98953.000,123398.000,108553.000,127389.000,132068.000,142369.000,149398.000,177698.000,158410.000,158071.000,275284.000,305871.000,181452.000,195436.000,81829.000,545746.000,228299.000,48335.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,175902.000,170129.000,165307.000,151060.000,212251.000,227366.000,217265.000,203140.000,267106.000,393637.000,398987.000,426934.000,470315.000,538664.000,571908.000,791444.000,781109.000,720098.000,697053.000,1007056.000,992865.000,903793.000,4261800.000,4110346.000,4755288.000,4093351.000,4375970.000,4622986.000,4627311.000,4601164.000,4898625.000,4493865.000,4462973.000,4160511.000,4855212.000,5406682.000,5374001.000,5415197.000,5105457.000,5186769.000,5891624.000,5986614.000,6120312.000,6615266.000,6341651.000,6521910.000,6386517.000,6867123.000,6945324.000
