Ticker,Preço_Fechamento,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
BRSR3,Preço de Fechamento Ajustado,8.74,8.45,9.64,8.2,8.81,12.1,10.48,11.42,11.09,10.21,11.0,10.4,11.02,11.16,13.13
BRSR5,Preço de Fechamento Ajustado,12.03,13.53,13.62,13.83,12.24,15.14,15.7,14.87,14.21,12.73,14.89,13.11,13.51,13.62,14.91
BRSR6,Preço de Fechamento Ajustado,7.73,6.64,8.79,7.27,7.78,12.0,9.98,10.82,10.91,9.52,9.8,9.02,9.69,10.71,11.32
