especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,8225751,9135011,9423009,13306838,15614113,15802606,16703586,16879980,17074448,17487075,17487075,22907083,22907083,22907083,22907083,ON
PN,310249,344543,355406,622218,698863,707300,747626,755522,764226,782695,782695,1025286,1025286,1025286,1025286,PN
TOTAL,8536000,9479554,9778415,13929056,16312976,16509906,17451212,17635502,17838674,18269770,18269770,23932369,23932369,23932369,23932369,TOTAL
