especie,2010T4,2011T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,59397496,59397496,1902996369,2204620569,2204620569,2204620569,2204620569,2204620569,2204620569,2204620569,2204620569,2204620569,2204620569,ON
PN,4453438,4453438,4453438,4453438,4453438,4453438,4453438,4453438,4453438,4453438,4453438,4453438,4453438,PN
TOTAL,63850934,63850934,1907449807,2209074007,2209074007,2209074007,2209074007,2209074007,2209074007,2209074007,2209074007,2209074007,2209074007,TOTAL
