especie,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,260083463,263544055,267842130,273912588,274325088,284991088,283176825,283176825,284014325,284014325,284014325,284014325,284014325,284014325,ON
TOTAL,260083463,263544055,267842130,273912588,274325088,284991088,283176825,283176825,284014325,284014325,284014325,284014325,284014325,284014325,TOTAL
