cd_conta,conta,2010T3,2010T4,2011T1,2011T3,2011T4,2012T1,2012T3,2012T4,2013T1,2013T3,2013T4,2014T1,2014T3,2014T4,2015T1,2015T3,2015T4,2016T1,2016T3,2016T4,2017T1,2017T3,2017T4,2018T1,2018T3,2018T4,2019T1,2019T3,2019T4,2020T1,2020T3,2020T4,2021T1,2021T3,2021T4,2022T1,2022T3,2022T4,2023T1,2023T3,2023T4,2024T1,2024T3,2024T4,2025T1,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-11034.000,-8355.000,-37541.000,9053.000,14664.000,18413.000,42291.000,-3008.000,49578.000,42733.000,14859.000,-15639.000,1011.000,-46674.000,-48290.000,3447.000,-5871.000,-45476.000,30.000,2566.000,23227.000,9058.000,-34301.000,-23331.000,-7507.000,7448.000,-6095.000,48321.000,63455.000,35398.000,129631.000,118593.000,103580.000,209995.000,219362.000,60216.000,36743.000,116992.000,60354.000,182592.000,26925.000,40527.000,20156.000,-48488.000,-74185.000,134086.000
6.01.DA,Depreciação e Amortização,2778.000,7827.000,8746.000,5378.000,12840.000,15370.000,6722.000,14861.000,17337.000,7180.000,8642.000,11650.000,6618.000,9337.000,12006.000,5993.000,10998.000,12194.000,5680.000,6838.000,7201.000,8093.000,17973.000,18364.000,11624.000,19761.000,20846.000,11972.000,17823.000,21083.000,29706.000,41906.000,63521.000,47433.000,68637.000,102270.000,25339.000,44961.000,62102.000,31663.000,40227.000,52260.000,41106.000,50514.000,66713.000,33942.000
6.02,Caixa Líquido Atividades de Investimento,-13907.000,-20143.000,-23793.000,-9001.000,-21164.000,-25744.000,-50919.000,-2082.000,-29941.000,304.000,-20523.000,-17241.000,-28723.000,-16992.000,-10625.000,125637.000,212112.000,204009.000,687.000,14157.000,-6671.000,-19595.000,-23155.000,-47039.000,1656.000,-3964.000,-7015.000,-9721.000,-17732.000,-33110.000,-11214.000,-26253.000,-204347.000,-23175.000,-6512.000,-6470.000,27052.000,-33221.000,-51979.000,-201408.000,-59342.000,-56085.000,-41039.000,28115.000,1873.000,-45625.000
6.03,Caixa Líquido Atividades de Financiamento,-4507.000,-27339.000,-6077.000,-13935.000,-40817.000,-28583.000,-5012.000,-17800.000,-7944.000,-7724.000,-6511.000,1378.000,-30477.000,-1196.000,6837.000,-80370.000,-162418.000,-143231.000,-2595.000,-31334.000,-52153.000,-6249.000,35080.000,43352.000,-31395.000,-42020.000,-36671.000,-34215.000,-63641.000,-41457.000,-65356.000,-97545.000,313833.000,-55436.000,-373977.000,-528139.000,-63271.000,-224151.000,-219966.000,-20555.000,-155613.000,-147591.000,7800.000,-122755.000,-35429.000,-12370.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,766.000,466.000,465.000,1449.000,900.000,5243.000,63.000,-2019.000,3052.000,2285.000,1731.000,-459.000,-176.000,-996.000,1141.000,169.000,305.000,-19537.000,-34.000,396.000,899.000,-115.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-29448.000,-55837.000,-67411.000,-13883.000,-47317.000,-35914.000,-13640.000,-22890.000,11693.000,35313.000,-12175.000,-31502.000,-58189.000,-64862.000,-52078.000,48714.000,43823.000,15302.000,-1878.000,-14611.000,-35597.000,-16786.000,-22376.000,-27018.000,-36480.000,-38070.000,-49316.000,5834.000,-17018.000,-33926.000,53124.000,-7224.000,216118.000,133669.000,-159396.000,-474852.000,348.000,-141376.000,-210450.000,-39202.000,-187725.000,-182686.000,-13117.000,-142732.000,-106842.000,75976.000
