cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T3,2015-T4,2016-T1,2016-T3,2016-T4,2017-T1,2017-T3,2017-T4,2018-T1,2018-T3,2018-T4,2019-T1,2019-T3,2019-T4,2020-T1,2020-T3,2020-T4,2021-T1,2021-T3,2021-T4,2022-T1,2022-T3,2022-T4,2023-T1,2023-T3,2023-T4,2024-T1,2024-T3,2024-T4,2025-T1,2025-T3,2025-T4
6.01,Fluxo de Caixa das Atividades Operacionais,-48290.0,3447.0,-14622.0,-45476.0,30.0,-17809.0,23227.0,9058.0,55993.0,-23331.0,-7507.0,5243.0,-6095.0,48321.0,3017.0,35398.0,129631.0,-60607.0,103580.0,209995.0,-58763.0,60216.0,36743.0,168435.0,60354.0,182592.0,90138.0,40527.0,20156.0,161888.0,-74185.0,134086.0,5221.0
6.01.DA,Depreciação e Amortização,12006.0,5993.0,16229.0,12194.0,5680.0,16277.0,7201.0,8093.0,6934.0,18364.0,11624.0,11598.0,20846.0,11972.0,11106.0,21083.0,29706.0,30543.0,63521.0,47433.0,62571.0,102270.0,25339.0,57275.0,62102.0,31663.0,56828.0,52260.0,41106.0,39069.0,66713.0,33942.0,41011.0
6.02,Fluxo de Caixa das Atividades de Investimento,-10625.0,125637.0,-105685.0,204009.0,687.0,160424.0,-6671.0,-19595.0,6068.0,-47039.0,1656.0,-67356.0,-7015.0,-9721.0,-11545.0,-33110.0,-11214.0,-18081.0,-204347.0,-23175.0,-190834.0,-6470.0,27052.0,-116781.0,-51979.0,-201408.0,139455.0,-56085.0,-41039.0,-89429.0,1873.0,-45625.0,-61058.0
6.03,Fluxo de Caixa das Atividades de Financiamento,6837.0,-80370.0,60468.0,-143231.0,-2595.0,-162153.0,-52153.0,-6249.0,-55681.0,43352.0,-31395.0,156809.0,-36671.0,-34215.0,6594.0,-41457.0,-65356.0,83807.0,313833.0,-55436.0,1010293.0,-528139.0,-63271.0,-674529.0,-219966.0,-20555.0,-240502.0,-147591.0,7800.0,-273599.0,-35429.0,-12370.0,-48327.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,2300.0,465.0,1449.0,-1587.0,5243.0,63.0,6175.0,3052.0,2285.0,-6303.0,-459.0,-176.0,-1087.0,1141.0,169.0,-1545.0,-19537.0,-34.0,1373.0,899.0,-115.0,143.0
6.05,Aumento (Redução) de Caixa e Equivalentes,-52078.0,48714.0,-59839.0,15302.0,-1878.0,-19538.0,-35597.0,-16786.0,6380.0,-27018.0,-36480.0,96996.0,-49316.0,5834.0,-3521.0,-33926.0,53124.0,11294.0,216118.0,133669.0,754393.0,-474852.0,348.0,-623962.0,-210450.0,-39202.0,-12454.0,-182686.0,-13117.0,-199767.0,-106842.0,75976.0,-104021.0
6.05.01,Saldo Inicial de Caixa e Equivalentes,86745.0,75620.0,124334.0,75620.0,54204.0,52326.0,54204.0,43798.0,27012.0,43798.0,104314.0,67834.0,104314.0,106627.0,112461.0,106627.0,171045.0,224169.0,171045.0,1059107.0,1192776.0,1059107.0,435493.0,435841.0,435493.0,383837.0,344635.0,383837.0,170953.0,157836.0,170953.0,142908.0,218884.0
6.05.02,Saldo Final de Caixa e Equivalentes,34667.0,124334.0,75620.0,90922.0,52326.0,54204.0,18607.0,27012.0,43798.0,16780.0,67834.0,104314.0,54998.0,112461.0,106627.0,72701.0,224169.0,171045.0,387163.0,1192776.0,1059107.0,584255.0,435841.0,435493.0,225043.0,344635.0,383837.0,201151.0,157836.0,170953.0,64111.0,218884.0,142908.0
