cd_conta,conta,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2.02.01,Empréstimos e Financiamentos,55436.000,58752.000,53513.000,52371.000,51294.000,52632.000,49575.000,49112.000,56924.000,51311.000,43088.000,57787.000,57909.000,51942.000,54258.000,67569.000,59179.000,51208.000,50246.000,48517.000,48230.000,40376.000,39126.000,65552.000,55555.000,51825.000,78445.000,86859.000,205932.000,203012.000,206053.000,213185.000,230188.000,257797.000,315870.000,461435.000,423353.000,384672.000,413998.000,279886.000,509585.000,456161.000,497873.000,501417.000,560200.000,560043.000,613976.000,630052.000,618256.000,608113.000,767060.000,724271.000,789231.000,891128.000,944915.000,881138.000,873132.000,888071.000
2.02.02,Outras Obrigações,492.000,1260.000,8115.000,1352.000,10209.000,20486.000,46.000,85.000,6565.000,5031.000,3591.000,4144.000,3449.000,678.000,737.000,2763.000,2342.000,400.000,401.000,510.000,4824.000,138.000,125.000,940.000,1520.000,1233.000,1339.000,7489.000,13443.000,18833.000,17582.000,16945.000,19451.000,19775.000,19720.000,76840.000,63838.000,81882.000,76266.000,55609.000,46681.000,47261.000,70419.000,99819.000,48979.000,40230.000,40971.000,37287.000,38824.000,40996.000,30118.000,40491.000,88435.000,96274.000,116309.000,98258.000,90215.000,87625.000
2.02.03,Tributos Diferidos,6168.000,10341.000,9336.000,3174.000,2695.000,2668.000,2934.000,2951.000,5812.000,5812.000,6012.000,5899.000,0.000,1822.000,1992.000,0.000,1508.000,898.000,900.000,891.000,970.000,309.000,280.000,258.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7530.000,6799.000,34031.000,39194.000,31701.000,31634.000,26714.000,26559.000,21541.000,56782.000,34925.000,27405.000,21619.000,22353.000,20654.000,20732.000,21144.000,20786.000,19719.000,23093.000,27847.000,30811.000,36880.000,35416.000
2.02.04,Provisões,0.000,0.000,0.000,0.000,1183.000,0.000,2987.000,3070.000,0.000,0.000,0.000,0.000,3573.000,4141.000,4133.000,4181.000,3684.000,4723.000,4857.000,5224.000,1455.000,1824.000,1917.000,2000.000,1594.000,1914.000,1705.000,1295.000,1207.000,1176.000,1003.000,805.000,824.000,735.000,950.000,1465.000,1485.000,1535.000,1261.000,4740.000,1445.000,1395.000,1639.000,1432.000,1117.000,860.000,1147.000,1171.000,1292.000,970.000,1119.000,1058.000,699.000,339.000,312.000,474.000,792.000,768.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,576923.000,595134.000,594352.000,597713.000,558968.000,556498.000,573083.000,569318.000,586985.000,583286.000,584316.000,581770.000,583906.000,592929.000,599919.000,634116.000,752106.000,818261.000,774823.000,733355.000,687488.000,691543.000,656429.000,656969.000,667468.000,684071.000,693770.000,716977.000,755864.000,900163.000,882814.000,888380.000,880533.000,938852.000,942966.000,1103455.000,1121569.000,1204532.000,1147756.000,1731488.000,2182601.000,2324943.000,2451476.000,2469381.000,2216048.000,2274107.000,2051176.000,2037981.000,2197142.000,2250942.000,1976036.000,1957407.000,2179679.000,2269763.000,2202709.000,2169898.000,2177728.000,2103468.000
2.03.01,Capital Social Realizado,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,584224.000,699811.000,699811.000,699811.000,699811.000,1139811.000,1587985.000,1587985.000,1587985.000,1587985.000,1587985.000,1587985.000,1587985.000,1587985.000,1587985.000,1587985.000,1587985.000,1587988.000,1587988.000,1587988.000,1587988.000,1587988.000,1587988.000,1587988.000
2.03.02,Reservas de Capital,996.000,1281.000,1566.000,1851.000,2134.000,2344.000,2475.000,2992.000,3385.000,6677.000,4004.000,9541.000,2267.000,2349.000,2349.000,2349.000,2125.000,-3963.000,-6202.000,-19014.000,-35432.000,-20551.000,-25173.000,-26399.000,-35272.000,-34055.000,-34055.000,-34055.000,-33211.000,-32685.000,-32310.000,-31946.000,-31563.000,-30053.000,-31945.000,-65793.000,-65793.000,-65793.000,-65793.000,-88167.000,-85617.000,-84896.000,-84241.000,-83587.000,-82452.000,-78213.000,-77213.000,-76212.000,-75573.000,-66376.000,-66376.000,-66376.000,-64576.000,-64126.000,-63676.000,-63226.000,-63184.000,-62784.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,0.000,-1135.000,-1135.000,-1135.000,0.000,0.000,0.000,0.000,6296.000,2374.000,440.000,2374.000,0.000,0.000,0.000,0.000,129489.000,129489.000,89156.000,89156.000,98691.000,83810.000,54277.000,54277.000,75101.000,75101.000,68615.000,68615.000,164968.000,164968.000,153973.000,153973.000,288996.000,288996.000,281052.000,281052.000,372212.000,372212.000,358606.000,358606.000,600811.000,600811.000,416252.000,416252.000,612828.000,612828.000,416352.000,416352.000,621111.000,621111.000,364888.000,364888.000,537880.000,537880.000,436761.000,436761.000,542000.000,542000.000
2.03.05,Lucros/Prejuízos Acumulados,-14898.000,2891.000,1826.000,-1306.000,-20470.000,-23150.000,-6696.000,-10978.000,0.000,-3069.000,-4448.000,-6809.000,-10988.000,-9406.000,-8226.000,7894.000,0.000,44477.000,45803.000,27843.000,0.000,3022.000,1642.000,6183.000,0.000,20134.000,31657.000,85641.000,0.000,136637.000,136124.000,140076.000,0.000,40576.000,60978.000,85603.000,0.000,75654.000,52192.000,189763.000,0.000,107871.000,407208.000,488989.000,0.000,42002.000,29121.000,25828.000,0.000,29985.000,24163.000,-5984.000,0.000,97457.000,77832.000,76738.000,0.000,-64275.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,-6920.000,-6920.000,-6920.000,-6920.000,-6920.000,-6920.000,96.000,-7560.000,8403.000,15762.000,21572.000,39649.000,36268.000,64034.000,61842.000,51146.000,40005.000,41038.000,41459.000,38684.000,0.000,38667.000,0.000,0.000,39883.000,47019.000,40803.000,42053.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43415.000,0.000,43329.000,12552.000,0.000,0.000,0.000,0.000,38876.000,55109.000,48657.000,102782.000,115339.000,122648.000,102940.000,131475.000,79422.000,113172.000,124272.000,59742.000,97687.000,109505.000,94931.000,84028.000,63619.000,78237.000,65376.000,76891.000,118387.000,110564.000,163804.000,131637.000,110924.000,100539.000
2.03.09,Participação dos Acionistas Não Controladores,6601.000,7873.000,7871.000,14079.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
