especie,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,58422400,58422400,58422400,58422400,58226600,56888916,58226600,56888916,56888916,62104301,102377008,102377008,102683444,102683444,ON
TOTAL,58422400,58422400,58422400,58422400,58226600,56888916,58226600,56888916,56888916,62104301,102377008,102377008,102683444,102683444,TOTAL
