cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T3,2015-T4,2016-T1,2016-T3,2016-T4,2017-T1,2017-T3,2017-T4,2018-T1,2018-T3,2018-T4,2019-T1,2019-T3,2019-T4,2020-T1,2020-T3,2020-T4,2021-T1,2021-T3,2021-T4,2022-T1,2022-T3,2022-T4,2023-T1,2023-T3,2023-T4,2024-T1,2024-T3,2024-T4,2025-T1,2025-T3,2025-T4
2,Passivo Total,867511.0,1002152.0,1017840.0,896654.0,852819.0,853529.0,848551.0,885410.0,883293.0,975079.0,1302468.0,1179599.0,1311018.0,1473756.0,1357614.0,1933623.0,2141679.0,2044368.0,2859944.0,3569024.0,3428318.0,3493235.0,3481818.0,3345263.0,3332824.0,3462664.0,3508075.0,3341289.0,3855177.0,3605082.0,3971666.0,3825853.0,3837002.0
2.01,Passivo Circulante,158882.0,126662.0,199021.0,108157.0,118629.0,112035.0,122832.0,146367.0,157156.0,162459.0,179284.0,203153.0,191703.0,256597.0,226618.0,283629.0,429864.0,400092.0,756587.0,712705.0,661292.0,364404.0,579173.0,483994.0,603980.0,540911.0,631907.0,597276.0,574580.0,527319.0,791087.0,710505.0,658255.0
2.01.01,Obrigações Sociais e Trabalhistas,5828.0,12794.0,11215.0,5303.0,11278.0,8856.0,5027.0,14684.0,11513.0,6962.0,17788.0,14300.0,8362.0,10535.0,17093.0,9145.0,15577.0,19600.0,11280.0,12820.0,22536.0,14065.0,21486.0,25652.0,15831.0,15433.0,23405.0,16146.0,16431.0,20703.0,18173.0,17173.0,21481.0
2.01.02,Fornecedores,9310.0,27666.0,54385.0,32330.0,36968.0,34334.0,50168.0,69237.0,80261.0,52941.0,103966.0,106445.0,85605.0,98955.0,119203.0,94295.0,113898.0,111170.0,126768.0,280523.0,186890.0,147489.0,253024.0,253440.0,144450.0,248084.0,176115.0,219643.0,213528.0,174302.0,240983.0,233527.0,176029.0
2.01.03,Obrigações Fiscais,6987.0,11602.0,23377.0,3990.0,4093.0,6277.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.04,Empréstimos e Financiamentos,66356.0,15057.0,50900.0,54237.0,56665.0,51615.0,54401.0,54841.0,56620.0,89578.0,45729.0,70088.0,88276.0,131726.0,76862.0,164145.0,237543.0,243123.0,391509.0,342467.0,352591.0,150891.0,110316.0,141992.0,279588.0,256206.0,253715.0,340476.0,291947.0,254767.0,457823.0,439309.0,438171.0
2.01.05,Outras Obrigações,70401.0,59543.0,59144.0,12297.0,9625.0,10953.0,9533.0,7605.0,8762.0,12978.0,11801.0,12320.0,9460.0,15381.0,13460.0,16044.0,62846.0,26199.0,227030.0,76895.0,99275.0,51959.0,194347.0,62910.0,164111.0,21188.0,178672.0,21011.0,52674.0,77547.0,74108.0,20496.0,22574.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,74513.0,57229.0,66713.0,55142.0,42647.0,55479.0,68750.0,54972.0,58669.0,95643.0,223021.0,220582.0,230935.0,278307.0,250463.0,546539.0,507283.0,522707.0,371869.0,531376.0,584425.0,659450.0,628538.0,645221.0,690863.0,670811.0,679026.0,786606.0,1010834.0,898084.0,1010681.0,1011880.0,1001019.0
2.02.01,Empréstimos e Financiamentos,67569.0,51208.0,59179.0,48517.0,40376.0,48230.0,65552.0,51825.0,55555.0,86859.0,203012.0,205932.0,213185.0,257797.0,230188.0,461435.0,384672.0,423353.0,279886.0,456161.0,509585.0,501417.0,560043.0,560200.0,630052.0,608113.0,618256.0,724271.0,891128.0,789231.0,881138.0,888071.0,873132.0
