especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,1108363344,1133129049,1339547923,1339547923,1339547923,49192557,49192557,8066955,8066955,8066955,56133457,3221864,77786471,29691030,ON
TOTAL,1108363344,1133129049,1339547923,1339547923,1339547923,49192557,49192557,8066955,8066955,8066955,56133457,3221864,77786471,29691030,TOTAL
