Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2025T4
ON,94863372,94863372,94863372,94863372,94863372,94863372,138510850,150574876,152341153,153719601,153719601,153719601,153719601,153719601,153719601,153719601
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,94863372,94863372,94863372,94863372,94863372,94863372,138510850,150574876,152341153,153719601,153719601,153719601,153719601,153719601,153719601,153719601
