especie,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,53942307,53942307,53949006,53949006,53949006,53949006,53949006,53949006,53949006,53949006,53949006,ON
TOTAL,53942307,53942307,53949006,53949006,53949006,53949006,53949006,53949006,53949006,53949006,53949006,TOTAL
