cd_conta,conta,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
6.01,Caixa Líquido das Atividades Operacionais,20598.000,-204091.000,40833.000,432280.000,99250.000,10769.000,193015.000,184986.000,67487.000,-69535.000,-87119.000,183075.000,100186.000,-638.000,-15483.000,415830.000,-75602.000,-147565.000,-1115.000,697340.000,31604.000,72825.000,259211.000,121954.000,-287344.000,-182422.000,-445761.000,776614.000,-294709.000,19279.000,-459273.000,1289557.000,-343974.000,-522665.000,-738469.000,2436472.000,-756955.000,-407316.000
6.01.DA,Depreciação e Amortização,23086.000,21333.000,21269.000,20911.000,21293.000,22501.000,23212.000,23207.000,24664.000,25658.000,23812.000,27282.000,25008.000,24729.000,26720.000,29005.000,30300.000,29397.000,30025.000,29389.000,30236.000,28538.000,30698.000,36341.000,40412.000,36506.000,42860.000,50250.000,47991.000,48100.000,48761.000,45479.000,45539.000,46337.000,47537.000,45439.000,46401.000,46850.000
6.02,Caixa Líquido Atividades de Investimento,-20968.000,-75133.000,-149120.000,-227793.000,435892.000,241045.000,198175.000,-906481.000,223505.000,65460.000,67914.000,-295135.000,-336935.000,-385687.000,-260218.000,847270.000,-134534.000,-43781.000,-134040.000,98395.000,-44498.000,-83964.000,-723770.000,257071.000,-185148.000,-292680.000,-528484.000,387265.000,-95026.000,-141538.000,-235253.000,159825.000,-62016.000,-162432.000,-460283.000,97743.000,-104021.000,-260344.000
6.03,Caixa Líquido Atividades de Financiamento,-159958.000,104803.000,-171430.000,108300.000,-406221.000,-190172.000,-344831.000,617432.000,620.000,79082.000,-46428.000,-94712.000,521300.000,546817.000,209967.000,-1480143.000,1366629.000,871806.000,764008.000,-2756562.000,402071.000,309182.000,1287869.000,-1320916.000,218061.000,346934.000,173428.000,-344783.000,78201.000,973815.000,938600.000,-686737.000,-343045.000,583026.000,169514.000,-974213.000,-39740.000,63945.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,-3379.000,3379.000,0.000,847.000,1376.000,1686.000,4196.000,17629.000,11802.000,-39005.000,-19137.000,3868.000,2800.000,22665.000,5521.000,2765.000,-1134.000,32060.000,-20923.000,-47545.000,-38144.000,52368.000,-34410.000,-30091.000,-20482.000,78567.000,-7106.000,-14179.000,16089.000,33097.000,-23851.000,-49797.000,60062.000,63876.000,-5155.000,-19298.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-160328.000,-174421.000,-283096.000,316166.000,128921.000,62489.000,47735.000,-102377.000,295808.000,92636.000,-53831.000,-245777.000,265414.000,164360.000,-62934.000,-194378.000,1162014.000,683225.000,627719.000,-1928767.000,368254.000,250498.000,785166.000,-889523.000,-288841.000,-158259.000,-821299.000,897663.000,-318640.000,837377.000,260163.000,795742.000,-772886.000,-151868.000,-969176.000,1623878.000,-905871.000,-623013.000
