cd_conta,conta,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
1,Ativo Total,3830638.000,3944925.000,3783045.000,3669453.000,3781173.000,4427180.000,4394734.000,4317278.000,4436660.000,5651536.000,5390024.000,5174943.000,4809389.000,7320138.000,6566540.000,6604180.000,6166787.000,7426466.000,6690928.000,8117978.000,7930970.000,8624917.000,8511151.000,8560397.000,9213881.000,9938428.000,10533204.000,10333582.000,10621358.000,11655519.000,12083226.000,11894521.000,11106595.000,12142367.000,11340162.000
1.01,Ativo Circulante,2379833.000,2489292.000,2331311.000,2206250.000,2291114.000,2868585.000,2797386.000,2769373.000,2483575.000,3604430.000,3311396.000,3094189.000,2700181.000,5118198.000,4367231.000,4309678.000,3804035.000,5087053.000,4391496.000,5146345.000,4829110.000,5452951.000,5182246.000,4839084.000,5087060.000,5848337.000,6392968.000,6158482.000,6350714.000,7304414.000,7645685.000,7114625.000,6210390.000,7187784.000,6364479.000
1.01.01,Caixa e Equivalentes de Caixa,139698.000,268619.000,202187.000,187433.000,276466.000,572274.000,369102.000,222635.000,365302.000,630716.000,529662.000,302368.000,537764.000,1699778.000,1220989.000,1165483.000,1081955.000,1450209.000,1332453.000,1867121.000,1596350.000,1307509.000,1438091.000,775051.000,1225614.000,906974.000,2062991.000,1485777.000,2800256.000,2027370.000,2648388.000,1831080.000,2530204.000,1624333.000,1907191.000
1.01.02,Aplicações Financeiras,470677.000,21758.000,184708.000,204552.000,406305.000,153375.000,296800.000,238613.000,31242.000,334981.000,339385.000,184117.000,32292.000,146517.000,32946.000,32557.000,32923.000,33137.000,33574.000,34053.000,33712.000,34635.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1740.000,0.000,0.000
1.01.03,Contas a Receber,676680.000,602907.000,579690.000,601832.000,609460.000,560343.000,590217.000,678499.000,690536.000,665402.000,634728.000,909003.000,725262.000,863679.000,978226.000,962427.000,945120.000,1191300.000,1040226.000,1212887.000,1212386.000,1415475.000,1319772.000,1520975.000,1331654.000,1379327.000,1346164.000,1885930.000,1359367.000,1920067.000,1746831.000,1977453.000,1153993.000,1850189.000,1444549.000
1.01.04,Estoques,953862.000,1438272.000,1232966.000,1085134.000,855228.000,1409509.000,1377749.000,1311235.000,1120180.000,1679039.000,1536473.000,1439199.000,1152804.000,2080878.000,1860835.000,1878987.000,1456780.000,2124062.000,1706636.000,1734044.000,1646697.000,2335641.000,2098832.000,2144492.000,2213930.000,3147375.000,2638185.000,2452020.000,1919767.000,3057538.000,2954460.000,2887650.000,2212803.000,3352745.000,2612462.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,75744.000,73884.000,60283.000,60069.000,67235.000,84027.000,64258.000,238704.000,142025.000,134197.000,134215.000,130562.000,119443.000,162260.000,152709.000,144690.000,145633.000,146881.000,129684.000,135307.000,195020.000,214856.000,204586.000,250199.000,221493.000,281696.000,241220.000,233129.000,203758.000,204137.000,195589.000,193665.000,208196.000,218088.000,224663.000
1.01.07,Despesas Antecipadas,11236.000,10178.000,10179.000,4869.000,12023.000,11545.000,9367.000,9410.000,18521.000,11914.000,10207.000,8189.000,15298.000,14537.000,8911.000,5731.000,16716.000,17789.000,13146.000,12265.000,12698.000,13670.000,12725.000,12655.000,10830.000,12939.000,12387.000,10615.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,51936.000,73674.000,61298.000,62361.000,64397.000,77512.000,89893.000,70277.000,115769.000,148181.000,126726.000,120751.000,117318.000,150549.000,112615.000,119803.000,124908.000,123675.000,135777.000,150668.000,132247.000,131165.000,108240.000,135712.000,83539.000,120026.000,92021.000,91011.000,67566.000,95302.000,100417.000,224777.000,103454.000,142429.000,175614.000
