cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,175989.000,209041.000,220470.000,180396.000,200499.000,192938.000,206208.000,182643.000,176277.000,162404.000,142491.000,146299.000,158991.000,142234.000,106349.000,112521.000,99942.000,87825.000,88515.000,93743.000,83721.000,87722.000,120105.000,88007.000,78124.000,59162.000,93683.000,71499.000,96554.000,98748.000,121602.000,124773.000,120988.000,122888.000,153362.000,148008.000,180975.000,184336.000,218405.000,214955.000,171298.000,200171.000,254701.000,252790.000,202210.000,210897.000,190230.000,170824.000,164197.000,209849.000,182281.000,203943.000,243208.000,267079.000,253179.000,283224.000,302745.000,318509.000,306521.000,418919.000,271983.000,293667.000,372603.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-121269.000,-151695.000,-155318.000,-156361.000,-169065.000,-186555.000,-158737.000,-145492.000,-141754.000,-125986.000,-102924.000,-106664.000,-120619.000,-106005.000,-73077.000,-80011.000,-63973.000,-60235.000,-57846.000,-61079.000,-60465.000,-59655.000,-88145.000,-60948.000,-57382.000,-44032.000,-65279.000,-49170.000,-74867.000,-72280.000,-87320.000,-81085.000,-83425.000,-86544.000,-100150.000,-96949.000,-123423.000,-119830.000,-138676.000,-131654.000,-107868.000,-133879.000,-167393.000,-159877.000,-123961.000,-133132.000,-117548.000,-115656.000,-111476.000,-143859.000,-126957.000,-152736.000,-184039.000,-203294.000,-194643.000,-220195.000,-227870.000,-239109.000,-213859.000,-291070.000,-183247.000,-204501.000,-266019.000
3.03,Resultado Bruto,54720.000,57346.000,65152.000,24035.000,31434.000,6383.000,47471.000,37151.000,34523.000,36418.000,39567.000,39635.000,38372.000,36229.000,33272.000,32510.000,35969.000,27590.000,30669.000,32664.000,23256.000,28067.000,31960.000,27059.000,20742.000,15130.000,28404.000,22329.000,21687.000,26468.000,34282.000,43688.000,37563.000,36344.000,53212.000,51059.000,57552.000,64506.000,79729.000,83301.000,63430.000,66292.000,87308.000,92913.000,78249.000,77765.000,72682.000,55168.000,52721.000,65990.000,55324.000,51207.000,59169.000,63785.000,58536.000,63029.000,74875.000,79400.000,92662.000,127849.000,88736.000,89166.000,106584.000
3.04,Despesas/Receitas Operacionais,-23099.000,-28307.000,-31950.000,-28747.000,-29832.000,-24364.000,-25918.000,-20690.000,-21607.000,-24255.000,-24892.000,-23228.000,-14481.000,-16533.000,-16579.000,-18115.000,-19762.000,-18051.000,-19160.000,-23941.000,-16092.000,-19231.000,-19914.000,-17479.000,-19765.000,-13827.000,-21181.000,-18823.000,-14176.000,-19443.000,-20599.000,-18695.000,-20393.000,-14730.000,-26959.000,-23693.000,-23427.000,-30110.000,-28329.000,-32839.000,-28219.000,-24747.000,-30191.000,-27690.000,-32743.000,-32302.000,-30620.000,-29584.000,-32197.000,-32861.000,-33384.000,-12694.000,-20191.000,-27214.000,-26298.000,-8202.000,-37066.000,-39885.000,-45549.000,-51970.000,-49255.000,-38660.000,-53056.000
3.04.02,Despesas Gerais e Administrativas,-12406.000,-13565.000,-14105.000,-9957.000,-15211.000,-17166.000,-16579.000,-9008.000,-14783.000,-17473.000,-14158.000,-10435.000,-10921.000,-11306.000,-10690.000,-10922.000,-13984.000,-16292.000,-13468.000,-10160.000,-12495.000,-12183.000,-11231.000,-9108.000,-10515.000,-10309.000,-11027.000,-9689.000,-8175.000,-10508.000,-11117.000,-11847.000,-10819.000,-8961.000,-17319.000,-12654.000,-12692.000,-17402.000,-21447.000,-20957.000,-17513.000,-17010.000,-20406.000,-19073.000,-19501.000,-19026.000,-17907.000,-16781.000,-18468.000,-17373.000,-19047.000,-17809.000,-21706.000,-19777.000,-18894.000,-23866.000,-24193.000,-25554.000,-24520.000,-27068.000,-25209.000,-24152.000,-27377.000
3.04.05,Outras Despesas Operacionais,0.000,-1813.000,-3592.000,-6929.000,-3280.000,0.000,-1952.000,-875.000,-1233.000,0.000,-3623.000,-2317.000,-792.000,0.000,0.000,3231.000,-452.000,0.000,0.000,-1167.000,-575.000,0.000,-309.000,-1187.000,-716.000,0.000,-49.000,765.000,0.000,-14.000,0.000,14.000,0.000,4303.000,0.000,-4303.000,-1205.000,-778.000,0.000,-2233.000,-864.000,-491.000,-969.000,-847.000,-454.000,-387.000,-1145.000,1287.000,-1643.000,-4878.000,-1335.000,10383.000,0.000,3325.000,3969.000,18842.000,0.000,2636.000,-38.000,-1518.000,0.000,12425.000,470.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3864.000,5246.000,4352.000,5389.000,2738.000,4502.000,-922.000,-1727.000,-372.000,1113.000,1451.000,86.000,204.000,-35.000,308.000,480.000,1132.000,954.000,516.000,1448.000,906.000,1715.000,938.000,746.000,1902.000,2482.000,2906.000,6219.000,5471.000,6275.000,6203.000,8295.000,2884.000,1259.000,2940.000,1361.000,2250.000,3338.000,2090.000,10463.000,8429.000,6029.000,7111.000,26070.000,7034.000,5396.000,4093.000,2390.000,342.000,-182.000,2412.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,31621.000,29039.000,33202.000,-4712.000,1602.000,-17981.000,21553.000,16461.000,12916.000,12163.000,14675.000,16407.000,23891.000,19696.000,16693.000,14395.000,16207.000,9539.000,11509.000,8723.000,7164.000,8836.000,12046.000,9580.000,977.000,1303.000,7223.000,3506.000,7511.000,7025.000,13683.000,24993.000,17170.000,21614.000,26253.000,27366.000,34125.000,34396.000,51400.000,50462.000,35211.000,41545.000,57117.000,65223.000,45506.000,45463.000,42062.000,25584.000,20524.000,33129.000,21940.000,38513.000,38978.000,36571.000,32238.000,54827.000,37809.000,39515.000,47113.000,75879.000,39481.000,50506.000,53528.000
3.06,Resultado Financeiro,-4407.000,-5123.000,-4725.000,-5844.000,-7377.000,-8289.000,-8944.000,-6585.000,-2884.000,-3426.000,-1045.000,-2697.000,-3661.000,-2160.000,39.000,2080.000,246.000,1573.000,1451.000,-198.000,197.000,-2073.000,-1976.000,-742.000,253.000,-1539.000,-2327.000,-48.000,-3191.000,-2507.000,-1837.000,-649.000,-962.000,-1225.000,-224.000,-529.000,-1535.000,-1603.000,-1103.000,2163.000,1122.000,829.000,-326.000,798.000,-1907.000,-1781.000,-1411.000,-4096.000,-4749.000,-5625.000,-6169.000,-6063.000,-1514.000,89.000,-979.000,-1867.000,1321.000,-474.000,274.000,8062.000,11926.000,8900.000,12714.000
3.06.01,Receitas Financeiras,5785.000,9883.000,11044.000,9388.000,10980.000,10974.000,9153.000,8099.000,9137.000,7103.000,7232.000,4499.000,3381.000,4616.000,5199.000,6799.000,4144.000,4090.000,3857.000,3653.000,3745.000,2441.000,2511.000,2718.000,3125.000,1822.000,2089.000,4668.000,1463.000,868.000,1144.000,2156.000,2035.000,1705.000,2511.000,2238.000,1154.000,2942.000,3816.000,6573.000,4806.000,4359.000,3084.000,4257.000,3203.000,3752.000,5466.000,7200.000,10071.000,10560.000,10050.000,8406.000,12206.000,12304.000,10580.000,11961.000,12829.000,13014.000,15365.000,20364.000,25140.000,22781.000,27389.000
