Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2025T4
ON,6646956,6646956,6646956,10179565,10179565,10179565,10179565,10179565,10179565,10179565,10179565,10179565,10179565,10179565,24080768,24080768
PN,5113043,5113043,5113043,7830435,7830435,7830435,7830435,7830435,7830435,7830435,7830435,7830435,7830435,7830435,16914403,16914403
TOTAL,11759999,11759999,11759999,18010000,18010000,18010000,18010000,18010000,18010000,18010000,18010000,18010000,18010000,18010000,40995171,40995171
