especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,1087050297,1087050297,1087050297,1087050297,1087050297,1087050297,1087050297,1087050297,1087050297,1288842596,1288842596,1288842596,1916517936,2027011498,2028544286,ON
PN,265583803,265583803,265583803,265583803,265583803,265583803,265583803,265583803,265583803,280088314,280088314,280088314,280088314,280088314,280088314,PN
TOTAL,1352634100,1352634100,1352634100,1352634100,1352634100,1352634100,1352634100,1352634100,1352634100,1568930910,1568930910,1568930910,2196606250,2307099812,2308632600,TOTAL
