especie,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,171453285,171844444,174557606,203402611,69068040,73784154,102159154,102159154,102159154,102159154,102159154,87859154,ON
TOTAL,171453285,171844444,174557606,203402611,69068040,73784154,102159154,102159154,102159154,102159154,102159154,87859154,TOTAL
