cd_conta_padrao,ds_conta_padrao,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
6.01,Fluxo de Caixa das Atividades Operacionais,55111.0,-12860.0,-40599.0,-37184.0,193443.0,-88271.0,79437.0,-232645.0,274095.0,-107054.0,-70533.0,-117599.0,151080.0,-263177.0,197075.0,84169.0,65421.0,-443539.0,286984.0,-182865.0,121604.0,-166861.0,85572.0,62940.0
6.02,Fluxo de Caixa das Atividades de Investimento,-96154.0,-2172.0,-14909.0,-14338.0,-24872.0,6747.0,45496.0,-117509.0,-66693.0,-106378.0,-1890.0,-85966.0,-73631.0,-106780.0,-293796.0,197725.0,-143755.0,243642.0,-180346.0,93352.0,64318.0,-11647.0,-11939.0,-117015.0
6.03,Fluxo de Caixa das Atividades de Financiamento,76655.0,30624.0,-39673.0,72705.0,93020.0,1681.0,-76594.0,469008.0,47705.0,80181.0,-47527.0,677612.0,136017.0,-83651.0,345604.0,-547270.0,208866.0,-185824.0,-65962.0,-103930.0,89742.0,-45262.0,-185920.0,-27838.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.05,Aumento (Redução) de Caixa e Equivalentes,35612.0,15592.0,-95181.0,21183.0,261591.0,-79843.0,48339.0,271788.0,102173.0,-133251.0,-119950.0,352794.0,334719.0,-453608.0,248883.0,-265376.0,130532.0,-385721.0,40676.0,-193443.0,275664.0,-223770.0,-112287.0,-81913.0
6.05.01,Saldo Inicial de Caixa e Equivalentes,83306.0,118918.0,134510.0,39329.0,60512.0,301106.0,221263.0,269602.0,541390.0,643563.0,510312.0,390362.0,743156.0,1077875.0,624267.0,873150.0,607774.0,738306.0,352585.0,393261.0,199818.0,475482.0,251712.0,139425.0
6.05.02,Saldo Final de Caixa e Equivalentes,118918.0,134510.0,39329.0,60512.0,301106.0,221263.0,269602.0,541390.0,643563.0,510312.0,390362.0,743156.0,1077875.0,624267.0,873150.0,607774.0,738306.0,352585.0,393261.0,199818.0,475482.0,251712.0,139425.0,57512.0
