cd_conta_padrao,ds_conta_padrao,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,1414201.0,1565494.0,1203907.0,1349801.0,4260865.0,5413263.0,4514524.0,5967491.0,6774910.0,8975134.0,7836693.0,8705722.0,9910493.0,11105489.0,8756778.0,7827618.0,7714016.0,7988015.0,6513329.0,3989983.0,3638761.0,3488816.0,2769627.0,2215352.0
2.01,Passivo Circulante,1081002.0,1168629.0,840753.0,1063919.0,3110584.0,4192032.0,3241310.0,3987621.0,4860330.0,7037408.0,6088442.0,6115124.0,7190670.0,8499010.0,6456087.0,5890729.0,6147186.0,5853709.0,4690079.0,5165847.0,5209502.0,5292843.0,428231.0,419349.0
2.01.01,Obrigações Sociais e Trabalhistas,13345.0,9189.0,12753.0,0.0,45202.0,52004.0,61629.0,70512.0,83371.0,95887.0,101141.0,115545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.02,Fornecedores,631555.0,741921.0,401801.0,442720.0,1808425.0,2809682.0,1655553.0,2481197.0,3199417.0,4958003.0,3644663.0,3720771.0,4870220.0,6238149.0,3800450.0,3136168.0,3053457.0,3916553.0,2783809.0,2570439.0,2276800.0,2431395.0,2869.0,118817.0
2.01.03,Obrigações Fiscais,13206.0,3330.0,1538.0,0.0,0.0,8921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.04,Empréstimos e Financiamentos,208895.0,179109.0,243609.0,330178.0,841776.0,751068.0,882195.0,823478.0,1045260.0,1284897.0,1440235.0,1353996.0,1617075.0,1532354.0,1534895.0,1499381.0,1543887.0,874132.0,806933.0,1364610.0,1493520.0,1463031.0,270475.0,203607.0
2.01.05,Outras Obrigações,0.0,0.0,0.0,0.0,415181.0,570357.0,641933.0,612434.0,532282.0,698621.0,902403.0,924812.0,703375.0,728507.0,1120742.0,1255180.0,1549842.0,1063024.0,1099337.0,1230798.0,1439182.0,1398417.0,154887.0,96925.0
2.01.06,Provisões,24595.0,52018.0,69763.0,130202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,189406.0,183062.0,111289.0,160819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,70229.0,136845.0,106652.0,58043.0,130133.0,230617.0,284410.0,608456.0,440392.0,519942.0,477862.0,1292997.0,1218357.0,1140001.0,1221624.0,888321.0,430168.0,1272765.0,1099218.0,146435.0,174898.0,205648.0,1887650.0,1981461.0
