cd_conta_padrao,ds_conta_padrao,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,1443693.0,290280.0,232205.0,459676.0,1648747.0,1204869.0,1013148.0,1844784.0,2517817.0,3145293.0,1967028.0,3074306.0,3405883.0,2785290.0,1832007.0,2369051.0,2412748.0,1596367.0,1056118.0,1218868.0,741014.0,341203.0,228285.0,440746.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1279902.0,-266065.0,-208347.0,-408760.0,-1419392.0,-927219.0,-1074273.0,-1590035.0,-2087150.0,-2814205.0,-1839291.0,-2627083.0,-2860452.0,-2378874.0,-1856927.0,-2017195.0,-2177995.0,-1523757.0,-1031971.0,-1358444.0,-759876.0,-347369.0,-243401.0,-420506.0
3.03,Resultado Bruto,163791.0,24215.0,23858.0,50916.0,229355.0,277650.0,-61125.0,254749.0,430667.0,331088.0,127737.0,447223.0,545431.0,406416.0,-24920.0,351856.0,234753.0,72610.0,24147.0,-139576.0,-18862.0,-6166.0,-15116.0,20240.0
3.04,Despesas/Receitas Operacionais,-100126.0,-26000.0,-24086.0,-30254.0,-151884.0,-103623.0,-118429.0,-147623.0,-207382.0,-214369.0,-175400.0,-271787.0,-262066.0,-237790.0,-169560.0,-203875.0,-151524.0,-206385.0,-178139.0,-1261529.0,-266497.0,-141074.0,1316003.0,-192565.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,63665.0,-1785.0,-228.0,20662.0,77471.0,174027.0,-179554.0,107126.0,223285.0,116719.0,-47663.0,175436.0,283365.0,168626.0,-194480.0,147981.0,83229.0,-133775.0,-153992.0,-1401105.0,-285359.0,-147240.0,1300887.0,-172325.0
3.06,Resultado Financeiro,-28337.0,-4820.0,-5355.0,-13141.0,-80174.0,-210071.0,139086.0,-31391.0,-83720.0,-150519.0,-156979.0,-150559.0,-113353.0,0.0,-210001.0,-116019.0,-367825.0,-166125.0,-146307.0,-433903.0,-121033.0,-55219.0,1160564.0,-469641.0
3.07,Resultado Antes dos Tributos sobre o Lucro,35328.0,-6605.0,-5583.0,7521.0,-2703.0,-36044.0,-40468.0,75734.0,139566.0,-33800.0,-204642.0,24877.0,170012.0,168626.0,-404481.0,31962.0,-284596.0,-299900.0,-300299.0,-1835008.0,-406392.0,-202459.0,2461451.0,-641966.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-10874.0,2413.0,1720.0,-3069.0,82517.0,5728.0,-103.0,-3426.0,-21590.0,-25142.0,55042.0,87.0,42513.0,-67341.0,15819.0,-62913.0,235632.0,24427.0,27.0,-205513.0,2646.0,2646.0,2444.0,2848.0
3.09,Resultado Líquido das Operações Continuadas,24454.0,-4192.0,-3863.0,4452.0,79814.0,-30316.0,-40571.0,72308.0,117976.0,-58942.0,-149600.0,24964.0,212525.0,101285.0,-388662.0,-30951.0,-48964.0,-275473.0,-300272.0,-2040521.0,-403746.0,-199813.0,2463895.0,-639118.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,24454.0,-4192.0,-3863.0,4452.0,79814.0,-30316.0,-40571.0,72308.0,117976.0,-58942.0,-149600.0,24964.0,212525.0,101285.0,-388662.0,-30951.0,-48964.0,-275473.0,-300272.0,-2040521.0,-403746.0,-199813.0,2463895.0,-639118.0
3.99,Lucro por Ação - (Reais / Ação),0.0,0.0,0.0,0.0097,0.24,-0.22,0.0,0.42,0.77,-0.44,-1.11,0.15,0.17,-0.26,-2.32,-0.19,-2.23,-1.65,-1.65,-8.07,-14.25,-0.8,15.73,-38.17
