especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,298269668,372837085,420764708,420764708,420764708,420764708,420764708,487614213,487614213,487614213,566036634,566036634,735847624,956601911,956601911,ON
PN,384144914,480181143,541907677,838076946,838076946,838076946,838076946,971138388,971138388,971138388,1127325434,1127325434,1465523064,1905179984,1905179984,PN
TOTAL,682414582,853018228,962672385,1258841654,1258841654,1258841654,1258841654,1458752601,1458752601,1458752601,1693362068,1693362068,2201370688,2861781895,2861781895,TOTAL
