cd_conta,ds_conta,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1792824.0,1913084.0,2300044.0,2417228.0,2291665.0,2331218.0,2245020.0,1956724.0,1915819.0,1665247.0,1863477.0,1903524.0,1693866.0,2064762.0,2135480.0,2279541.0,2337831.0,2004973.0,2251954.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1349038.0,-1526728.0,-1990077.0,-1933629.0,-1737715.0,-1668972.0,-1914409.0,-1854269.0,-1855804.0,-1637905.0,-1924019.0,-1854580.0,-1615364.0,-1807277.0,-1771450.0,-2119969.0,-1911779.0,-1986502.0,-2053445.0
3.03,Resultado Bruto,443786.0,386356.0,309967.0,483599.0,553950.0,662246.0,330611.0,102455.0,60015.0,27342.0,60542.0,-72140.0,78502.0,257485.0,364030.0,159572.0,426052.0,18471.0,198509.0
3.04,Despesas/Receitas Operacionais,-325857.0,-60008.0,-142484.0,-258576.0,-138112.0,-11782.0,-147131.0,-219850.0,-62444.0,-214344.0,-17055.0,-667837.0,-66710.0,-34574.0,-215346.0,-116809.0,-71965.0,-78755.0,-48115.0
3.04.02,Despesas Gerais e Administrativas,-69278.0,-81472.0,-73537.0,-113740.0,-85309.0,-112789.0,-91323.0,-115638.0,-95468.0,-108779.0,-80747.0,-104596.0,-92430.0,-117081.0,-89879.0,-128507.0,-103348.0,-117909.0,-113980.0
3.04.05,Outras Despesas Operacionais,-231568.0,0.0,0.0,-231568.0,-61026.0,0.0,0.0,-11426.0,-151902.0,0.0,0.0,-440406.0,0.0,0.0,-147575.0,-147575.0,0.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,-17169.0,17065.0,-17647.0,30475.0,19192.0,-14774.0,-10988.0,-6295.0,18428.0,25815.0,11559.0,11408.0,32139.0,31562.0,34221.0,31297.0,32337.0,28560.0,35601.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,117929.0,446364.0,167483.0,622159.0,415838.0,674028.0,183480.0,-140959.0,122459.0,-187002.0,-43487.0,-777891.0,145212.0,222911.0,148684.0,142961.0,498017.0,-60284.0,246624.0
3.06,Resultado Financeiro,-244706.0,131686.0,-254915.0,-128592.0,166542.0,58477.0,-26965.0,-200115.0,-494.0,184485.0,-273765.0,-3974.0,-144401.0,-350846.0,-106068.0,-417118.0,-20294.0,-1867.0,-50680.0
3.06.01,Receitas Financeiras,8357.0,295036.0,59857.0,224148.0,500493.0,423892.0,243283.0,30387.0,189143.0,393204.0,153868.0,118312.0,63444.0,22796.0,148223.0,29417.0,131670.0,165389.0,182660.0
3.06.02,Despesas Financeiras,-253063.0,-163350.0,-314772.0,-352740.0,-333951.0,-365415.0,-270248.0,-169728.0,-189637.0,-208719.0,-119897.0,-193398.0,-207845.0,-373642.0,-254291.0,-446535.0,-151964.0,-167256.0,-233340.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-126777.0,578050.0,-87432.0,493567.0,582380.0,732505.0,156515.0,-341074.0,121965.0,-2517.0,-317252.0,-781865.0,811.0,-127935.0,42616.0,-274157.0,477723.0,-62151.0,195944.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-6436.0,-181466.0,-46932.0,-215153.0,-156299.0,-34920.0,-56134.0,-58014.0,-32664.0,-47092.0,-54126.0,-36588.0,-30354.0,-53105.0,-44434.0,-157883.0,-143107.0,-10667.0,-64373.0
3.09,Resultado Líquido das Operações Continuadas,133213.0,396584.0,40500.0,267430.0,426081.0,697585.0,100381.0,-283060.0,89301.0,49609.0,263126.0,407163.0,29543.0,74830.0,87050.0,-118534.0,334616.0,72818.0,131571.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,133213.0,396584.0,40500.0,267430.0,426081.0,697585.0,100381.0,-266801.0,89301.0,49609.0,263126.0,407163.0,29543.0,74830.0,87050.0,-118534.0,334616.0,72818.0,131571.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-150536.0,384338.0,-47309.0,556451.0,406175.0,489494.0,78526.0,-106646.0,67040.0,-60679.0,-289370.0,-624628.0,-56400.0,-101992.0,57810.0,-80089.0,304983.0,-94322.0,103557.0
3.11.02,Atribuído a Sócios Não Controladores,17323.0,12246.0,6809.0,58405.0,19906.0,21381.0,21855.0,26555.0,22261.0,11070.0,26244.0,38533.0,26857.0,27162.0,29240.0,24523.0,29633.0,21504.0,28015.0
3.99,Lucro por Ação (Reais/Ação),-110.85,0.66559552,0.06797203,0.11085,0.71510098,1.17077203,0.16847161,-0.4477779,0.1371598,0.07619579,0.40414227,0.62537256,0.04537589,0.1149334,0.13370243,-0.277,468.43,-144.87,159.06181
