cd_conta,conta,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,157177.000,172516.000,156486.000,184488.000,180518.000,217104.000,188593.000,202258.000,199013.000,243333.000,620260.000,635882.000,616111.000,638825.000,606187.000,616270.000,482034.000,565273.000,635193.000,711541.000,586297.000,655908.000,656816.000,816611.000,957545.000,956857.000,1003790.000,1220189.000,2173169.000,1905282.000,1950583.000,1991929.000,2302777.000,2298489.000,2373112.000,2293665.000,2543864.000,2615521.000,2532306.000,2499905.000,2445312.000,2558534.000,2445103.000,2413891.000
1.01,Ativo Circulante,116308.000,131650.000,108308.000,133921.000,125344.000,166500.000,138000.000,139422.000,135184.000,180889.000,88591.000,95903.000,79929.000,104000.000,77397.000,85455.000,124544.000,198229.000,140244.000,228894.000,134475.000,199027.000,220358.000,364716.000,354855.000,375628.000,411363.000,627969.000,522690.000,273652.000,337287.000,357474.000,493165.000,477843.000,562994.000,521688.000,573199.000,651928.000,533418.000,520737.000,476791.000,641567.000,556281.000,561323.000
1.01.01,Caixa e Equivalentes de Caixa,8720.000,7050.000,1222.000,334.000,1241.000,10460.000,13058.000,29725.000,16642.000,6600.000,23248.000,7106.000,6380.000,782.000,410.000,7056.000,29347.000,51388.000,17807.000,52732.000,44102.000,87443.000,92235.000,176228.000,29121.000,25124.000,37263.000,22467.000,25510.000,29161.000,29729.000,37375.000,35650.000,40596.000,36246.000,40164.000,35566.000,36996.000,26724.000,25305.000,19161.000,47942.000,13919.000,68956.000
1.01.02,Aplicações Financeiras,88148.000,105259.000,82137.000,103545.000,99881.000,127241.000,97773.000,77005.000,89779.000,139280.000,15333.000,37052.000,23476.000,44770.000,12605.000,5772.000,23676.000,63767.000,36061.000,53454.000,1658.000,17885.000,29433.000,63454.000,227848.000,238037.000,251515.000,506964.000,427026.000,138755.000,188276.000,202774.000,247546.000,212170.000,284844.000,211503.000,261053.000,329558.000,249880.000,225064.000,250939.000,390575.000,290849.000,225302.000
1.01.03,Contas a Receber,15261.000,13710.000,16215.000,20696.000,20314.000,24546.000,20499.000,24389.000,24651.000,27631.000,33801.000,32520.000,29625.000,35684.000,39409.000,47224.000,46386.000,54621.000,57274.000,93189.000,59726.000,60134.000,58561.000,93989.000,65719.000,68164.000,90691.000,72649.000,45560.000,72865.000,83418.000,81670.000,123257.000,127822.000,137935.000,128995.000,127911.000,138649.000,150315.000,167557.000,140290.000,148660.000,185347.000,184490.000
1.01.04,Estoques,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95574.000,99358.000,56426.000,53351.000,0.000,0.000,0.000,0.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,4179.000,5631.000,8734.000,9346.000,3908.000,4253.000,6670.000,8303.000,4112.000,7378.000,16209.000,19225.000,20448.000,22764.000,24973.000,25403.000,25135.000,28453.000,29102.000,29519.000,28989.000,33565.000,40129.000,31045.000,32167.000,44303.000,31894.000,25889.000,24594.000,32871.000,35864.000,35655.000,86712.000,97255.000,103969.000,141026.000,53095.000,47367.000,50073.000,49460.000,66401.000,54390.000,66166.000,82575.000
1.02,Ativo Não Circulante,40869.000,40866.000,48178.000,50567.000,55174.000,50604.000,50593.000,62836.000,63829.000,62444.000,531669.000,539979.000,536182.000,534825.000,528790.000,530815.000,357490.000,367044.000,494949.000,482647.000,451822.000,456881.000,436458.000,451895.000,602690.000,581229.000,592427.000,592220.000,1650479.000,1631630.000,1613296.000,1634455.000,1809612.000,1820646.000,1810118.000,1771977.000,1970665.000,1963593.000,1998888.000,1979168.000,1968521.000,1916967.000,1888822.000,1852568.000
1.02.01,Ativo Realizável a Longo Prazo,23985.000,22773.000,22230.000,21482.000,24616.000,19120.000,16563.000,24114.000,25661.000,23642.000,27370.000,28656.000,33095.000,35608.000,36357.000,45422.000,41957.000,44831.000,43919.000,37589.000,37737.000,38532.000,36896.000,64537.000,90856.000,87222.000,94954.000,91049.000,80599.000,75019.000,79412.000,73223.000,61217.000,79633.000,83663.000,61587.000,56566.000,67186.000,120034.000,122917.000,140559.000,146036.000,126756.000,122286.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12500.000,29293.000,165584.000,166237.000,115525.000,117482.000,118326.000,120241.000,126107.000,117224.000,122948.000,128912.000,136879.000,140605.000,130301.000,131147.000,136013.000,141120.000,147468.000,153747.000,205386.000,213106.000,215035.000,225315.000,231707.000,245421.000,257027.000,246756.000
