cd_conta,conta,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,15916.000,25662.000,27573.000,28944.000,39684.000,4161.000,29155.000,31766.000,41862.000,71485.000,19007.000,41204.000,47930.000,41801.000,68987.000,37488.000,23827.000,57939.000,55055.000,61005.000,68669.000,59689.000,54699.000,100840.000,77334.000,152084.000,282551.000,25523.000,29476.000,71216.000,45782.000,79539.000,63918.000,127919.000,212158.000,150120.000,40089.000,113683.000,103976.000,118117.000,115139.000,199486.000,77674.000,120157.000,135215.000,258349.000,396383.000
6.01.DA,Depreciação e Amortização,,,,1429.000,,,,2519.000,,,,4897.000,,,,21158.000,,,,0.000,,,,0.000,,,21594.000,-21594.000,2007.000,1376.000,1555.000,1176.000,1956.000,3727.000,5694.000,-3932.000,2929.000,3609.000,3547.000,19640.000,28565.000,26795.000,-46761.000,121036.000,26560.000,53107.000,0.000
6.02,Caixa Líquido Atividades de Investimento,7209.000,-4036.000,-11791.000,39855.000,-25211.000,19472.000,-24713.000,2526.000,-31969.000,6050.000,37501.000,-13987.000,-52487.000,45868.000,-38145.000,-35592.000,-23330.000,-3994.000,8798.000,-48527.000,-31786.000,-24339.000,-9522.000,-20277.000,-32509.000,-47174.000,-90930.000,-265878.000,-29078.000,-43613.000,-283444.000,7956.000,-49764.000,-105592.000,-175850.000,-207409.000,-12299.000,-56773.000,70629.000,-25194.000,-62612.000,84942.000,26747.000,-27556.000,-132083.000,-28483.000,63699.000
6.03,Caixa Líquido Atividades de Financiamento,-21762.000,-22650.000,-16438.000,-63158.000,-16143.000,-29461.000,-5330.000,-33385.000,-674.000,-74937.000,-39841.000,-40300.000,-5485.000,-71021.000,-46984.000,-2622.000,-6095.000,-54317.000,-57207.000,4844.000,-14842.000,-68931.000,-10252.000,-89193.000,-1483.000,-56777.000,-59495.000,1772.000,-4395.000,-15464.000,222866.000,-84452.000,-10503.000,-18110.000,-24443.000,47696.000,-22844.000,-61260.000,-170687.000,-97521.000,-51097.000,-294700.000,-105840.000,-98745.000,25649.000,-235108.000,-410287.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,1363.000,-1024.000,-656.000,5641.000,-1670.000,-5828.000,-888.000,907.000,9219.000,2598.000,16667.000,-13083.000,-10042.000,16648.000,-16142.000,-726.000,-5598.000,-372.000,6646.000,17322.000,22041.000,-33581.000,34925.000,-8630.000,43342.000,48133.000,132126.000,-238583.000,-3997.000,12139.000,-14796.000,3043.000,3651.000,4217.000,11865.000,-9593.000,4946.000,-4350.000,3918.000,-4598.000,1430.000,-10272.000,-1419.000,-6144.000,28781.000,-5242.000,49795.000
